"COMID"
12162572
12163826
12163856
12163882
12163888
12168981
12170153
12169385
4495818
4783101
5867391
5867393
4151302
5867537
14785933
23017906
14786231
14770846
23004329
3923217
25243939
10390274
10092262
3985996
10389562
7900637
3985952
3985520
23002222
22957049
24295262
22988593
24309693
22977606
24293868
22559686
22557868
22912482
22937042
24355829
23015048
23015046
947010233
947010231
23021904
23004793
23002030
3936150
2962790
5336835
22977134
14784427
6188982
24372960
940190266
14787331
17880874
3882442
4688867
4268026
6129519
6228192
6200432
22290307
22744269
6909049
8933532
8931816
11834118
7601075
11817507
397466
7600611
7397825
8586574
11819355
11818755
10390260
10274376
10274358
6740352
7913954
5848028
17262269
17391613
6741536
6744642
6744130
23805270
21655846
21655400
12107302
6929270
6884590
6925383
6885460
6924635
4548994
7434715
8586784
10348934
6744606
6075243
5862629
10295108
7700014
7700148
7712756
7733285
7732387
4572307
4594599
6084121
6109479
2890908
226565
3561816
2885178
2900705
13584
188619
229493
2829226
2829190
2823972
2833552
2826038
2825952
2819990
21610113
21610027
21609533
21609435
21609641
21610433
21610707
21609881
4252434
401664
7667166
7518879
400202
4495892
5848066
10389480
10389524
10390268
4563250
2041785
3285770
6745108
22937058
23002174
23002082
23002036
23002230
5863761
6772223
22476707
17557695
6560683
22476839
17543597
11915787
6570940
6572160
228593
1275870
12161502
13063571
13063073
12176750
12173364
13063497
18566067
21655380
6470168
6419250
3293992
3285608
19323457
6929316
6929788
19324747
6908699
15678101
13228112
13193844
13184592
15651789
9846365
6636048
14828617
7027381
7053799
6772925
14440046
14434913
3285526
2041073
3286312
2045079
3295120
2041891
2048069
2047815
3516820
3516838
6442680
6471994
6442650
3516836
15634673
15582369
6949292
7006146
6772179
6078267
1292088
1276892
1268506
1268426
1446644
1491202
1305635
1494036
9033255
12005951
6802086
6828617
6844165
6802816
14972877
22050527
2827120
2827158
2826944
12842094
1885488
1100446
10596716
2386790
15588544
23275628
24538282
23956534
664510
2043233
6442522
2047989
4187713
4482885
12162504
18476509
18566151
22271988
18225345
21654312
2047771
13581342
13597251
7068915
3178044
9680968
9679690
9693728
9745600
9747390
10549446
1850373
4417062
4123062
4122756
4122838
4046994
4142330
9399110
6688977
7029999
22937148
22937120
1104060
22198635
2748888
2047963
21656202
22198571
22201969
21654166
14254647
7083426
1234461
1314627
1333198
1319426
9769826
9767700
3808755
4753658
24372958
21656476
15820281
18227973
21655536
22203589
9679502
3589120
1630223
10840488
1620855
2749030
2748704
2748624
2423583
2424931
2366806
1100388
1100370
1099800
1100438
24372984
24372930
24372992
17833378
17834098
17848906
24491716
24494446
24491682
24491448
23251991
24491198
24491164
23195924
24491020
23251503
23267066
24558407
23156080
3787957
4709828
4709460
4696343
4518680
4721921
4725337
17808624
16918210
9922304
2144821
15905049
20438416
20435246
20435378
21274486
20478484
15932661
15932827
15934865
23459909
23459517
12076092
15027145
7981844
12076108
948021144
8020924
7960917
1683031
1679005
2770154
1680009
12071480
23135935
23227762
23238594
23252011
23123539
23133833
23238582
24469174
24469992
24459696
24432901
16662855
6212484
932030061
22745373
6189624
4782153
5848380
4709456
8021798
8020792
2769744
6186206
6199756
6217526
932020066
11432099
8932654
23470948
24399854
24405981
5866977
6123709
6116296
2919739
2826350
24432181
23238606
23123131
22329455
8924007
8944439
10376596
5844986
10376080
10389462
10389588
10389446
6772565
5867559
6115740
6116688
22290155
6227778
22744811
3246094
6211716
5848094
24750511
7268299
17416036
7303316
2390026
1100142
10645747
12870137
10645755
2424879
10595952
10596860
2388216
2387984
2385974
2387420
2385934
1103808
5844288
5845464
8869832
8890760
8868638
8890838
8896334
8896094
8785997
8896032
8890522
23804986
8758261
8891018
8890468
8778337
3291248
23800734
8783681
8758635
8780535
15022679
8780625
8783585
8896942
8786009
8783617
8784679
8896962
8783615
8868790
8870580
8890644
8890774
8783275
23155840
948070557
22563116
14767306
22555310
22560412
22558144
22557744
14787925
14787223
14787983
14787403
14786207
14787395
13463761
13463785
13463931
13464269
14786309
14785981
14762369
14762359
14762123
14771374
14771030
13463115
22560628
14785823
9247920
2889264
6330580
2900119
9513328
1057257
2884976
2900279
2884974
2891290
188121
5908085
1269872
1293096
1270482
9514000
1967611
2889480
2900991
2888870
2920517
18460036
1260275
1268390
6340560
14767258
7732571
8433400
22340331
1260353
943030230
18464804
14783655
12169373
1047953
23801360
12163840
3285566
9609466
2891266
230039
2875825
3286248
6413862
6415668
6414762
6413638
3297300
6420742
6415440
15676823
3288652
3285934
21770935
7600379
2889322
12664
2888886
2889054
18991194
3296676
3291164
6338080
6415470
17475871
23107326
11831522
3285562
3285604
940190147
2900283
4766828
15676827
188073
2888948
2885672
2044955
1049851
6334002
2889478
6333408
1048251
228553
13454068
1262809
1446936
1446904
13571751
1260381
1260395
1446780
12163880
12004537
13063389
13063377
1455025
4133337
4133497
4133293
12170141
12175264
20196632
1278616
1292106
1292266
1292994
16916300
1293152
1293164
1293092
1445656
1446494
1293086
1297178
1262591
12175334
23977660
23805078
23978320
23762819
23800972
10219278
24285536
4505612
8450272
23737123
23763477
8420360
23763093
23763103
23763749
8420098
23977806
23763753
8432704
23763111
23955918
23800594
23800650
8432836
23956550
23763521
14267516
3785861
11049558
17877387
23977876
23801774
23801630
24285494
4741851
14363552
23801028
5891232
8448416
9053487
23804832
23800628
18476813
18464554
18454477
5785479
3882548
3932354
3882844
18464514
11574598
18474933
4123248
937020571
18458249
12162522
3931076
3931404
3922009
3985472
12162648
3881776
3983990
3984018
3986258
3981022
3883414
3984048
18454649
18458289
18458225
6570914
18449955
18457857
18457917
3923095
3922883
7518999
7417340
7517469
7560083
7520891
7436419
7647433
11919825
23763273
23791437
17542141
7016531
6979014
16101337
18949635
8364344
10117754
11673186
20920711
21517052
20987715
21195628
941040163
17399459
7842827
13754363
7872253
3585554
13525140
7436485
7652953
7559641
5057931
7517265
23804894
23791023
23805228
23792103
23736753
23809600
23805298
23815068
23815512
23751810
23800954
23801254
5769807
12870379
5351095
3097061
20179529
11654348
9370700
19618596
23809568
12173408
12005315
12173986
12005891
12173476
6802898
23796547
23764703
23792245
23804918
24242433
23736385
23759294
23809570
23815500
23736573
23814988
13211298
13633173
13290368
13409794
20097619
18459872
3922037
14768206
10207857
10161364
23267348
23267352
3981270
3930910
15613796
3935784
15662946
15612400
3931398
10080314
17541219
14836121
14836911
6960357
13771802
5802188
13211090
7003470
13312435
13336562
13309075
8134878
4147956
9305916
22151401
23773411
22130697
23436993
10696957
8933522
15984809
23398889
18105412
23399311
23402145
23400225
24384943
18325008
24432663
10365698
8611825
13410000
17034207
916821
20437386
23398795
23402329
18460086
18476799
18476455
18476479
18476367
18476879
17541439
17541199
17541397
398350
398772
399866
398312
398544
398956
399566
398526
397616
397866
397366
397388
399468
397258
401358
401656
400962
400846
7111683
12162512
904040051
9572887
23251079
23251451
23251657
23251223
23251331
23251487
