COMID,REGIONID,WETTED_WIDTH_M
5195844,Region01,0
5195742,Region01,2.69
5196358,Region01,5.52
5196656,Region01,0
5196368,Region01,5.41
5195778,Region01,4.41
5196474,Region01,0
5197116,Region01,0
5198054,Region01,0
5198052,Region01,0
5197670,Region01,5.3
2680288,Region01,5.01
2680328,Region01,6.47
2680436,Region01,13.15
2680886,Region01,14.03
2680826,Region01,5.45
2681726,Region01,5.53
2679766,Region01,5.31
2691966,Region01,0
2681662,Region01,0
2683786,Region01,0
2681664,Region01,0
2681646,Region01,0
2681642,Region01,0
2683908,Region01,0
2683928,Region01,0
2684020,Region01,0
2684032,Region01,0
2684046,Region01,0
2685444,Region01,4.76
2686306,Region01,0
2685362,Region01,3.88
2680890,Region01,13.7
2682718,Region01,0
2684260,Region01,13.68
2680870,Region01,15.16
2680318,Region01,17.25
2680316,Region01,17.23
2680814,Region01,5.81
2679742,Region01,6.63
2680766,Region01,21.17
2680770,Region01,22.5
2681640,Region01,0
2681638,Region01,0
2681634,Region01,0
2681636,Region01,0
2684028,Region01,0
2683952,Region01,0
2683946,Region01,0
2683942,Region01,0
2683888,Region01,0
2685372,Region01,0
2685326,Region01,13.1
2684074,Region01,0
2686316,Region01,0
2681492,Region01,17.23
2680856,Region01,21.9
2680764,Region01,2.92
2679710,Region01,6.11
2680794,Region01,21.11
2681610,Region01,0
2680858,Region01,5.22
2679882,Region01,13.19
2680844,Region01,3.62
2681740,Region01,5.35
2680036,Region01,5.98
2680114,Region01,6.61
2683900,Region01,0
2683966,Region01,0
2683660,Region01,0
2683664,Region01,0
2685378,Region01,5.59
2686302,Region01,0
2684058,Region01,0
2685994,Region01,0
2679712,Region01,6.76
2679744,Region01,10.98
2679732,Region01,11.05
2679830,Region01,11.5
2679874,Region01,13.16
2679866,Region01,12.87
2681480,Region01,61.77
2681470,Region01,61.84
2680138,Region01,6.71
2681372,Region01,0
2680230,Region01,8.26
2680346,Region01,3.43
2680280,Region01,5.52
2683986,Region01,0
2683980,Region01,0
2684042,Region01,0
2683202,Region01,3.41
2691960,Region01,0
2685402,Region01,11.38
2679706,Region01,4.95
2679714,Region01,5.49
2679810,Region01,7.91
2674820,Region01,0
2674826,Region01,0
2681456,Region01,62.04
2681446,Region01,61.55
2680264,Region01,0
2685970,Region01,0
2684156,Region01,0
2684152,Region01,0
2683224,Region01,0
2683714,Region01,0
2683494,Region01,5.31
2683710,Region01,0
2683148,Region01,0
2686002,Region01,0
2686006,Region01,0
2685770,Region01,7.6
2685790,Region01,6
2674832,Region01,0
2674838,Region01,5.72
2674844,Region01,6.13
2675268,Region01,8.65
2681648,Region01,61.24
2692114,Region01,62.2
2681490,Region01,62.07
2681500,Region01,0
2684148,Region01,0
2684136,Region01,0
2684086,Region01,0
2685350,Region01,3.47
2683698,Region01,0
2683678,Region01,0
2683680,Region01,0
2683658,Region01,0
2685774,Region01,7.58
2685360,Region01,3.43
2685892,Region01,0
2685776,Region01,7.33
2686298,Region01,0
2675294,Region01,9.09
2675302,Region01,10.87
2674868,Region01,6.28
2675370,Region01,0
2681538,Region01,0
2681512,Region01,0
2691954,Region01,0
2685334,Region01,3.75
2685988,Region01,0
2685992,Region01,0
2685984,Region01,0
2681650,Region01,0
2684062,Region01,0
2684044,Region01,0
2684060,Region01,0
931050032,Region01,0
2685450,Region01,7.93
2678210,Region01,0
2685476,Region01,12.49
2691964,Region01,0
2675306,Region01,4.46
2675372,Region01,5.57
2675398,Region01,0
2675298,Region01,9.16
2683816,Region01,0
2683814,Region01,0
2685274,Region01,13.68
2684026,Region01,0
2684034,Region01,0
2683844,Region01,0
2677256,Region01,14.15
2684050,Region01,0
2684132,Region01,0
2684138,Region01,0
2684112,Region01,0
2684118,Region01,0
2685414,Region01,10.94
2685764,Region01,12.69
2684158,Region01,0
2685948,Region01,0
2674880,Region01,10.46
2674890,Region01,17.5
2675324,Region01,19.87
2675328,Region01,22.77
2679230,Region01,22.7
2691952,Region01,0
2683812,Region01,0
2683824,Region01,0
2683830,Region01,0
2682228,Region01,0
2684024,Region01,0
2681666,Region01,0
2677318,Region01,7.08
2684096,Region01,0
2684068,Region01,0
2684072,Region01,0
2684116,Region01,0
2686308,Region01,0
2686010,Region01,0
2685998,Region01,0
2685488,Region01,12.67
2686304,Region01,0
2679234,Region01,21.82
2680686,Region01,20.98
2679352,Region01,23.35
2679366,Region01,23.21
2683866,Region01,0
2683868,Region01,0
2683894,Region01,0
2683872,Region01,0
2677334,Region01,16.88
5197664,Region01,0
5195878,Region01,0
5194920,Region01,0
5196616,Region01,4.2
5194884,Region01,3.71
5195814,Region01,0
5194720,Region01,5.59
5195004,Region01,0
5194868,Region01,3.69
5195002,Region01,0
5195732,Region01,3.24
5195734,Region01,0
5195858,Region01,3.81
5195862,Region01,3.67
5196364,Region01,5.11
5196584,Region01,5.43
5195934,Region01,0
5195888,Region01,2.71
5195886,Region01,0
5198060,Region01,0
5197674,Region01,0
5194752,Region01,0
5196638,Region01,0
5196504,Region01,4.41
5194938,Region01,0
5196026,Region01,5.03
5197054,Region01,0
5197696,Region01,0
5196010,Region01,0
5195784,Region01,0
5195762,Region01,0
5195786,Region01,0
5196400,Region01,3.39
5195946,Region01,39.26
5196912,Region01,0
5197676,Region01,0
5198142,Region01,0
5198058,Region01,3.13
5198118,Region01,0
5195006,Region01,0
5196720,Region01,0
5194848,Region01,4.56
5194702,Region01,3.34
5196938,Region01,75.58
5196460,Region01,0
5195894,Region01,0
5195892,Region01,3.69
5196454,Region01,0
5196442,Region01,4.08
5195876,Region01,4.93
5195872,Region01,0
5196812,Region01,0
5195820,Region01,0
5198056,Region01,4.42
5197650,Region01,0
5197646,Region01,0
5197654,Region01,0
5195648,Region01,0
5194990,Region01,4.27
5196614,Region01,0
5194704,Region01,3.35
5194850,Region01,3.74
5195830,Region01,5.42
5196362,Region01,4.74
5197102,Region01,0
5195898,Region01,3.95
5196868,Region01,0
5195860,Region01,0
5196436,Region01,5.83
5195846,Region01,0
5195842,Region01,4.64
5195834,Region01,0
5195866,Region01,0
5198050,Region01,0
5197666,Region01,0
5197672,Region01,0
5197680,Region01,0
5196636,Region01,0
5197148,Region01,0
5194856,Region01,4.1
5195990,Region01,3.33
5195986,Region01,3.41
5197704,Region01,0
5197086,Region01,0
5197106,Region01,0
5195852,Region01,0
5196430,Region01,3.4
5195806,Region01,0
5195840,Region01,4.14
5196428,Region01,4.24
5197100,Region01,0
5195848,Region01,3.94
5197682,Region01,5.17
5197690,Region01,0
5198070,Region01,0
5194880,Region01,0
5196070,Region01,4.28
5196700,Region01,0
5195740,Region01,0
5195926,Region01,0
5196530,Region01,5.85
5196466,Region01,0
5195708,Region01,0
5197098,Region01,0
5194960,Region01,0
5199648,Region01,0
2678570,Region01,0
5198150,Region01,0
5197248,Region01,0
2678546,Region01,0
5198148,Region01,0
5197158,Region01,76.89
931050166,Region01,0
5197170,Region01,0
5197038,Region01,0
5197028,Region01,0
5197026,Region01,0
5197020,Region01,0
5197010,Region01,0
5197698,Region01,0
5198072,Region01,0
5196770,Region01,0
5194958,Region01,0
2678544,Region01,0
2678506,Region01,0
5194956,Region01,0
2678530,Region01,0
2676364,Region01,9.56
5198146,Region01,0
5197252,Region01,0
5196780,Region01,0
2676550,Region01,7.76
5197176,Region01,0
5197156,Region01,0
5196788,Region01,0
5196778,Region01,0
5197008,Region01,0
5197000,Region01,0
5196998,Region01,0
5196992,Region01,0
5196990,Region01,0
5197132,Region01,41.31
5196610,Region01,44.4
2675438,Region01,0
5194954,Region01,0
2675440,Region01,0
2678566,Region01,0
2677770,Region01,5.09
2678560,Region01,0
2678526,Region01,0
5197178,Region01,0
5196978,Region01,0
5196882,Region01,0
5196916,Region01,72.97
931050169,Region01,0
5196692,Region01,72.55
5196988,Region01,0
5196986,Region01,0
5196980,Region01,0
5196932,Region01,0
5197264,Region01,44.4
5197210,Region01,73.22
5194976,Region01,0
2675432,Region01,0
5194962,Region01,0
2676414,Region01,7.03
5195024,Region01,0
2678564,Region01,0
2676422,Region01,4.89
5197250,Region01,0
2678532,Region01,0
5197246,Region01,0
5196836,Region01,72.82
5196854,Region01,72.88
5196816,Region01,76.59
5196814,Region01,76.85
5196930,Region01,0
5196924,Region01,0
5196922,Region01,0
5196908,Region01,0
5197214,Region01,0
5195900,Region01,0
5195902,Region01,21.06
5197232,Region01,0
5197242,Region01,0
5194974,Region01,0
2678510,Region01,0
5194952,Region01,0
5194948,Region01,0
5194946,Region01,0
5196862,Region01,0
5196852,Region01,0
5196848,Region01,0
5196846,Region01,0
5196842,Region01,0
5196872,Region01,0
5195660,Region01,0
5199600,Region01,72.58
5196906,Region01,0
5196904,Region01,0
5196896,Region01,0
5196894,Region01,0
166174040,Region01,0
166174039,Region01,0
5197234,Region01,0
5195998,Region01,0
5195664,Region01,0
5196432,Region01,9.02
2678508,Region01,0
2676566,Region01,11.55
5194944,Region01,0
5194926,Region01,0
5196738,Region01,0
5196732,Region01,0
5196726,Region01,0
5196724,Region01,0
5196718,Region01,0
5199634,Region01,0
5199620,Region01,0
5197180,Region01,0
5197182,Region01,0
5197154,Region01,73.06
24897852,Region01,21.17
24897844,Region01,21.6
2674372,Region01,0
2673580,Region01,4.39
166174013,Region01,8.36
166174012,Region01,9.09
5197254,Region01,0
5197212,Region01,0
2678552,Region01,0
5195028,Region01,0
5199630,Region01,0
2678540,Region01,0
5196714,Region01,0
5196712,Region01,0
5196710,Region01,0
5196708,Region01,0
5197188,Region01,75.53
5196964,Region01,74.7
5196794,Region01,0
931050167,Region01,0
2674374,Region01,0
2673544,Region01,2.9
2674186,Region01,0
2673584,Region01,5.74
5197142,Region01,0
5197140,Region01,0
5197134,Region01,44.4
5197260,Region01,73.18
5197244,Region01,0
2678550,Region01,0
166174033,Region01,0
5197224,Region01,0
166174034,Region01,0
5196696,Region01,0
5196694,Region01,0
5196754,Region01,0
5196750,Region01,0
5197190,Region01,74.7
5197192,Region01,75.36
5199656,Region01,0
2674184,Region01,0
2674392,Region01,0
2673578,Region01,0
2673582,Region01,5.81
2673620,Region01,0
5196914,Region01,73.32
5196918,Region01,73.32
2678536,Region01,0
2678562,Region01,0
5196804,Region01,0
5199626,Region01,0
5196782,Region01,0
5196748,Region01,0
5198106,Region01,0
5198098,Region01,0
5198096,Region01,0
5197022,Region01,0
5196946,Region01,0
5196948,Region01,0
5196940,Region01,45.97
5199602,Region01,73.32
2673682,Region01,0
2674394,Region01,0
2673618,Region01,0
5195650,Region01,0
5197208,Region01,73.12
5197206,Region01,43.2
5197138,Region01,44.4
5197136,Region01,0
5196760,Region01,0
5198178,Region01,0
2677910,Region01,12.35
5198176,Region01,0
5197018,Region01,0
5197014,Region01,0
5198104,Region01,0
5198102,Region01,0
5195666,Region01,5.8
5195548,Region01,0
5197196,Region01,75.7
931050168,Region01,0
5197216,Region01,73.3
5196038,Region01,2.75
2675430,Region01,0
5197186,Region01,0
5195542,Region01,0
5197184,Region01,75.58
5199610,Region01,75.58
5196756,Region01,0
2678528,Region01,0
5195020,Region01,0
5198174,Region01,0
5198172,Region01,0
5196772,Region01,0
5198100,Region01,0
5198090,Region01,0
5198088,Region01,0
5198132,Region01,0
5197194,Region01,75.62
5197160,Region01,75.88
5197174,Region01,76.89
5196874,Region01,76.79
5194762,Region01,5.87
5195538,Region01,0
5196408,Region01,7.36
5197240,Region01,0
5196752,Region01,0
5199650,Region01,0
5196746,Region01,0
5194966,Region01,0
5199644,Region01,0
2675434,Region01,0
2675424,Region01,0
5199622,Region01,0
2676552,Region01,12.53
5196784,Region01,0
5198130,Region01,0
5198128,Region01,0
5198126,Region01,0
5198124,Region01,0
5198122,Region01,0
5196902,Region01,75.7
5197204,Region01,75.88
5197198,Region01,75.7
5196900,Region01,75.96
5197258,Region01,6.88
5195694,Region01,5.19
5196776,Region01,0
5197118,Region01,43.74
5196612,Region01,44.4
5196744,Region01,0
5196736,Region01,0
5196734,Region01,0
5196578,Region01,5.17
2678502,Region01,0
5198170,Region01,0
5196830,Region01,0
5198120,Region01,0
5198082,Region01,0
5198080,Region01,0
5198078,Region01,0
5197200,Region01,75.7
5196936,Region01,75.49
5197202,Region01,76.33
5197162,Region01,76.36
5196934,Region01,73.3
5199584,Region01,42.26
5196606,Region01,43.66
5196604,Region01,40.58
931050165,Region01,47.2
5194872,Region01,3.5
5194950,Region01,0
5196346,Region01,3.49
5194932,Region01,0
5195018,Region01,0
5196786,Region01,0
5198168,Region01,0
5198164,Region01,0
5196654,Region01,0
5196652,Region01,0
5196646,Region01,0
5196644,Region01,0
5197164,Region01,76.36
5196876,Region01,76.33
5196792,Region01,0
5197172,Region01,0
5196632,Region01,46.72
5197144,Region01,44.73
5196624,Region01,42.9
931050164,Region01,43.3
5194860,Region01,3.58
5196366,Region01,0
5194714,Region01,3.55
5194934,Region01,0
5194964,Region01,0
2673744,Region01,22.21
2675428,Region01,0
5198162,Region01,0
5196762,Region01,0
5198160,Region01,0
5196758,Region01,0
5196642,Region01,0
24897859,Region01,0
5197082,Region01,0
5197078,Region01,0
5199646,Region01,52.96
5197146,Region01,52.92
5196670,Region01,52.92
5196622,Region01,42.18
5196618,Region01,44.4
931050171,Region01,49.66
931050170,Region01,50.15
5194942,Region01,0
5194940,Region01,0
5196706,Region01,0
5195768,Region01,3.35
2675426,Region01,0
5198158,Region01,0
5198156,Region01,0
5198154,Region01,0
5197070,Region01,0
5197068,Region01,0
5197064,Region01,0
5197052,Region01,0
5196664,Region01,52.92
5196666,Region01,52.92
5196662,Region01,52.96
5196674,Region01,50.53
5196740,Region01,73.06
5197262,Region01,51.66
5196764,Region01,73.06
5196702,Region01,72.92
5194748,Region01,0
5196810,Region01,0
5195588,Region01,3.38
5196742,Region01,0
5195026,Region01,0
2677860,Region01,0
5198152,Region01,0
2677596,Region01,5.5
5194972,Region01,0
5197050,Region01,0
5197044,Region01,0
5196768,Region01,0
5196660,Region01,50.39
5196068,Region01,5.06
5198068,Region01,3.41
5197168,Region01,76.96
5196958,Region01,73.87
5197152,Region01,73.06
5196826,Region01,72.51
5199652,Region01,73.06
5196508,Region01,0
5194888,Region01,6.58
5194968,Region01,0
5194978,Region01,0
2678512,Region01,0
2678494,Region01,0
2678496,Region01,0
2678504,Region01,0
2678576,Region01,0
2677520,Region01,9.2
2676368,Region01,2.99
931050117,Region01,0
931050116,Region01,0
931050115,Region01,0
931050114,Region01,0
2678148,Region01,55.97
2678084,Region01,56.41
5196954,Region01,0
5196972,Region01,0
2678500,Region01,0
2678498,Region01,0
2678514,Region01,0
2678482,Region01,0
2678478,Region01,0
2678488,Region01,0
2676186,Region01,8.83
2678574,Region01,0
2677508,Region01,28.01
2677832,Region01,29.19
931050113,Region01,0
931050112,Region01,0
931050111,Region01,0
931050110,Region01,0
931050109,Region01,0
2678568,Region01,0
2678760,Region01,55.61
5196808,Region01,0
5196888,Region01,0
2678486,Region01,0
2678480,Region01,0
2678474,Region01,0
2678484,Region01,0
2673538,Region01,18.95
2676228,Region01,28.96
2676224,Region01,29.27
2677926,Region01,0
2676398,Region01,6.61
931050104,Region01,0
931050095,Region01,0
931050096,Region01,0
931050097,Region01,0
5196730,Region01,0
5196728,Region01,0
2678046,Region01,40.24
2677902,Region01,0
2678470,Region01,0
2678472,Region01,0
2678468,Region01,0
2678490,Region01,0
2678572,Region01,0
2676080,Region01,24.07
2677552,Region01,11.25
2676260,Region01,29.19
931050103,Region01,0
931050102,Region01,0
931050100,Region01,0
931050108,Region01,0
5196722,Region01,0
2678072,Region01,55.35
2676376,Region01,3.47
5196970,Region01,0
5196994,Region01,0
2675422,Region01,0
2678492,Region01,0
2677780,Region01,0
2678464,Region01,0
2678466,Region01,0
2677546,Region01,6.02
2680672,Region01,7.35
2679242,Region01,7.37
931050099,Region01,0
931050107,Region01,0
931050106,Region01,0
931050105,Region01,0
931050101,Region01,0
931050098,Region01,0
2678762,Region01,55.21
2677856,Region01,29.69
5196886,Region01,0
5196950,Region01,0
2676272,Region01,7.39
2676380,Region01,8.51
2676348,Region01,7.92
2678476,Region01,0
2675420,Region01,0
2678462,Region01,0
931050146,Region01,0
2679250,Region01,7.63
2679256,Region01,8.49
2679826,Region01,33.27
2679272,Region01,7.85
2679304,Region01,10.12
166174044,Region01,0
166174043,Region01,0
166174042,Region01,14.58
166174041,Region01,11.22
2677704,Region01,6.88
2678534,Region01,0
2677900,Region01,0
5196806,Region01,0
2678612,Region01,0
2679770,Region01,34.99
931050145,Region01,0
931050155,Region01,0
931050153,Region01,0
2679310,Region01,13.66
2679320,Region01,14.46
2679322,Region01,14.51
2679336,Region01,14.59
166174018,Region01,11.71
166174038,Region01,4.78
166174035,Region01,5.65
166174032,Region01,0
5196690,Region01,0
5196682,Region01,0
24893424,Region01,55.26
2678752,Region01,37.9
5196984,Region01,0
2678608,Region01,0
2678602,Region01,0
2676448,Region01,12.31
931050152,Region01,0
931050151,Region01,0
931050160,Region01,0
931050158,Region01,0
2679342,Region01,14.64
2679354,Region01,15.82
2679380,Region01,26.53
166174031,Region01,4.77
166174030,Region01,0
166174029,Region01,0
166174028,Region01,0
166174027,Region01,6.87
2676310,Region01,7.04
2678094,Region01,55.9
5196928,Region01,0
5196968,Region01,0
2674050,Region01,15.89
2676258,Region01,9.18
2676400,Region01,8.83
2676146,Region01,0
2677606,Region01,6.08
931050157,Region01,0
931050159,Region01,0
931050161,Region01,0
2679640,Region01,32.24
2679432,Region01,25.77
2679436,Region01,26.89
2679454,Region01,29.26
166174026,Region01,0
166174023,Region01,0
166174022,Region01,7.23
166174021,Region01,0
5196680,Region01,0
2678596,Region01,0
5196796,Region01,0
5196840,Region01,0
2677556,Region01,11.35
2678610,Region01,0
2677828,Region01,29.19
931050150,Region01,0
931050148,Region01,0
931050144,Region01,0
931050143,Region01,0
2679496,Region01,27.26
2677580,Region01,9.3
2677802,Region01,0
2676306,Region01,0
2678524,Region01,0
166174020,Region01,0
166174019,Region01,0
166174017,Region01,5.99
166174016,Region01,6.69
2676420,Region01,6.56
2677592,Region01,5.49
2678036,Region01,40.25
2676504,Region01,6.21
5197002,Region01,0
2678620,Region01,0
2678630,Region01,0
2678628,Region01,0
931050149,Region01,0
931050147,Region01,0
931050142,Region01,0
931050141,Region01,0
2678740,Region01,11.01
2677792,Region01,10.8
2677550,Region01,11.06
2677794,Region01,11.14
166174015,Region01,6.23
166174014,Region01,0
166174010,Region01,4.36
2675442,Region01,0
2678134,Region01,56.35
2673756,Region01,23.82
5196966,Region01,0
5196982,Region01,0
2678626,Region01,0
2677536,Region01,5.32
2677492,Region01,28.08
2678014,Region01,22.98
2679568,Region01,31.05
2676474,Region01,22.98
931050140,Region01,0
931050139,Region01,0
931050138,Region01,0
931050137,Region01,0
931050136,Region01,0
2677578,Region01,11.31
2674154,Region01,5.44
2673602,Region01,0
2674162,Region01,5.77
5199654,Region01,0
5198116,Region01,0
5198114,Region01,0
5198112,Region01,0
5198110,Region01,0
2675436,Region01,0
2676262,Region01,5.68
5196822,Region01,0
5196926,Region01,0
2677826,Region01,29.2
2678600,Region01,0
931050135,Region01,0
931050134,Region01,0
931050133,Region01,0
931050132,Region01,0
2674166,Region01,6.19
2673734,Region01,7.36
2674322,Region01,7.09
2674124,Region01,21.35
2673662,Region01,22.46
5198108,Region01,0
5198094,Region01,0
5198092,Region01,0
5198086,Region01,0
2678538,Region01,0
5195040,Region01,0
2677904,Region01,0
2677560,Region01,18.76
2678394,Region01,0
2677610,Region01,6.55
2676248,Region01,28.53
931050131,Region01,0
931050130,Region01,0
931050129,Region01,0
2674320,Region01,23.2
2673676,Region01,22.2
2676044,Region01,25.41
2673742,Region01,25.42
5198084,Region01,0
5197238,Region01,0
5197080,Region01,0
5197066,Region01,0
5195034,Region01,0
5195032,Region01,0
2678076,Region01,55.47
2677848,Region01,30.45
5196974,Region01,0
5196996,Region01,0
2678616,Region01,0
2677824,Region01,27.73
2676198,Region01,3.33
2676154,Region01,8.45
2676244,Region01,10.83
931050128,Region01,0
931050127,Region01,0
931050126,Region01,0
931050125,Region01,0
2674324,Region01,24.06
2691968,Region01,25.42
5197048,Region01,0
5197046,Region01,0
5197040,Region01,0
5197036,Region01,0
5197034,Region01,0
2678142,Region01,55.64
2678126,Region01,56.43
5196910,Region01,0
5196956,Region01,0
2677858,Region01,11.27
2676250,Region01,29.2
2673526,Region01,17.33
2673518,Region01,16.6
931050124,Region01,0
931050123,Region01,0
931050122,Region01,0
931050121,Region01,0
2676058,Region01,24.45
2677474,Region01,25.76
2676126,Region01,26.18
2677498,Region01,26.68
2677510,Region01,27
5197032,Region01,0
5197030,Region01,0
5197024,Region01,0
5197016,Region01,0
5195030,Region01,0
2676568,Region01,11.44
2677898,Region01,37.59
5196820,Region01,0
2678598,Region01,0
2678732,Region01,0
2677878,Region01,0
931050120,Region01,0
931050119,Region01,0
931050118,Region01,0
2676230,Region01,27.66
2677522,Region01,28.65
2676278,Region01,28.9
2677548,Region01,29.78
2676304,Region01,0
5197012,Region01,0
5197006,Region01,0
5197004,Region01,0
2678554,Region01,0
2676642,Region01,0
2678776,Region01,39.63
2673760,Region01,23.07
2678618,Region01,0
2678720,Region01,0
2678604,Region01,0
2679220,Region01,6.48
2685746,Region01,8.07
2685744,Region01,6.48
2683778,Region01,0
2679696,Region01,8.64
2679818,Region01,11.46
2682236,Region01,0
2676834,Region01,18.59
2677734,Region01,19.03
2677732,Region01,18.26
2677718,Region01,0
2676756,Region01,8.21
2676066,Region01,26.59
2676158,Region01,25.87
2676180,Region01,25.58
2676200,Region01,31.02
2691948,Region01,0
2677650,Region01,3.77
2677654,Region01,4.88
2676522,Region01,5.85
2676282,Region01,6.88
2677148,Region01,11.53
2691958,Region01,0
2691996,Region01,7.05
2681656,Region01,0
2681652,Region01,0
2678710,Region01,0
2677338,Region01,0
2681674,Region01,0
2678708,Region01,0
2681654,Region01,0
2676800,Region01,9.13
2677740,Region01,21.52
2678178,Region01,0
2678208,Region01,0
2677742,Region01,21.71
2676226,Region01,31.33
2692018,Region01,35.41
2676322,Region01,34.94
2677532,Region01,5.39
2678008,Region01,0
2677562,Region01,7.86
2677588,Region01,9.44
2680262,Region01,0
2685282,Region01,12.59
2685260,Region01,12.6
2680344,Region01,6.79
2685834,Region01,0
2681658,Region01,0
2680084,Region01,10.2
2683838,Region01,0
2679834,Region01,12.7
2681672,Region01,0
2678242,Region01,0
2692126,Region01,0
2678264,Region01,0
2678246,Region01,0
2676280,Region01,5.85
2677554,Region01,6.75
2678022,Region01,35.27
2676426,Region01,36.58
2677590,Region01,9.32
2677622,Region01,10.24
2682242,Region01,0
2676822,Region01,33.47
2676868,Region01,34.32
2676884,Region01,34.79
2679844,Region01,12.95
2679854,Region01,13.4
2685252,Region01,11.76
2684010,Region01,0
2678782,Region01,0
2678314,Region01,0
2678726,Region01,0
2682246,Region01,0
2676324,Region01,37.1
24893428,Region01,37.5
2678056,Region01,36.53
2677612,Region01,36.07
2678054,Region01,41.63
2676484,Region01,12.5
2677618,Region01,11.66
2676486,Region01,11.87
2676546,Region01,12.94
2677642,Region01,14.55
2676912,Region01,34.19
2678446,Region01,0
2676828,Region01,0
2676844,Region01,0
2676862,Region01,0
2686320,Region01,0
2679860,Region01,16.94
2679886,Region01,16.82
2678698,Region01,0
2678690,Region01,0
2678312,Region01,0
2678724,Region01,0
2682248,Region01,0
2678688,Region01,0
2676472,Region01,40.08
2678066,Region01,40.38
2676518,Region01,41.49
2676464,Region01,6.07
2676492,Region01,7.45
2676506,Region01,7.92
2676872,Region01,9.51
2676888,Region01,11.22
2676910,Region01,11.18
2676932,Region01,35.66
2677024,Region01,33.99
2678354,Region01,0
2683794,Region01,0
2683864,Region01,0
2683810,Region01,0
2680272,Region01,6.69
2678682,Region01,0
2678670,Region01,0
2678668,Region01,0
2677748,Region01,5.4
2678074,Region01,43.33
2676564,Region01,43.69
2678098,Region01,43.8
2678060,Region01,45.23
2677632,Region01,16.75
2684036,Region01,0
2677090,Region01,35.5
2677098,Region01,36.15
2678272,Region01,0
2685840,Region01,0
2683998,Region01,0
2680086,Region01,11.5
2677342,Region01,0
2677134,Region01,8.01
2677152,Region01,0
2677154,Region01,0
2678250,Region01,0
2678096,Region01,44.63
2678040,Region01,45.14
2676062,Region01,5.3
2674404,Region01,6.28
2673774,Region01,6.26
2683848,Region01,0
2683780,Region01,0
2677624,Region01,17.8
2677106,Region01,36.17
24893348,Region01,36.17
2678292,Region01,0
2678306,Region01,0
2679896,Region01,17.04
2679952,Region01,17.53
2685846,Region01,0
2677174,Region01,0
2681660,Region01,0
2677164,Region01,0
2678672,Region01,0
2674172,Region01,6.24
2676112,Region01,8.54
2676144,Region01,10.85
2676150,Region01,10.84
2685272,Region01,12.86
2685276,Region01,13.34
2679212,Region01,2.86
2677478,Region01,11.12
2677480,Region01,6
2678316,Region01,0
2678310,Region01,0
2678326,Region01,0
2678346,Region01,0
2678340,Region01,0
2683970,Region01,0
2683972,Region01,0
2680840,Region01,17.86
2679958,Region01,19.22
2680868,Region01,5.32
2678684,Region01,0
2678674,Region01,0
2678676,Region01,0
2677512,Region01,10.84
2676212,Region01,10.97
2676222,Region01,11.53
2676274,Region01,16.72
2677932,Region01,0
2678712,Region01,11.62
2676094,Region01,12.51
2678342,Region01,0
2678700,Region01,0
2678680,Region01,0
2678288,Region01,0
2678282,Region01,0
2683880,Region01,0
2679976,Region01,19.2
2681644,Region01,0
2683792,Region01,0
2678666,Region01,0
2678170,Region01,0
2678662,Region01,0
2678664,Region01,0
2676314,Region01,17.42
2676344,Region01,17.1
2676358,Region01,17.44
2676394,Region01,18.77
2676416,Region01,19.25
2676124,Region01,13.34
2676182,Region01,14.02
2675284,Region01,10.48
2678270,Region01,0
2678266,Region01,0
2678686,Region01,0
2678256,Region01,0
2683772,Region01,0
2677016,Region01,0
2678258,Region01,0
2679998,Region01,19.15
2678648,Region01,0
2678656,Region01,0
2677680,Region01,5.36
2676774,Region01,5.48
2676450,Region01,19.55
2677482,Region01,4.19
2678706,Region01,0
2682238,Region01,0
2682234,Region01,0
2675278,Region01,10.44
2675274,Region01,11.02
2675264,Region01,11
2674814,Region01,10.92
2674034,Region01,19.27
2673486,Region01,19.65
2678186,Region01,0
2676984,Region01,0
2678188,Region01,0
2677028,Region01,4.65
2677044,Region01,5.78
2684048,Region01,0
2680670,Region01,6.55
2677042,Region01,18.68
2678324,Region01,0
2676804,Region01,7.95
2676814,Region01,10.04
2677674,Region01,5.13
2677676,Region01,6.45
2676722,Region01,7.35
2682232,Region01,0
166174089,Region01,0
166174090,Region01,0
2678594,Region01,0
2673490,Region01,19.22
2673492,Region01,20.39
2677086,Region01,11.08
2678220,Region01,0
2678254,Region01,0
2678228,Region01,0
2678322,Region01,11.44
2680106,Region01,11.69
2679224,Region01,5.82
2683874,Region01,0
2683884,Region01,0
2676742,Region01,8.83
2676748,Region01,9.03
2676812,Region01,10.27
2676858,Region01,14.05
2678592,Region01,0
2677528,Region01,4.42
2677836,Region01,0
2680780,Region01,33.31
2673500,Region01,20.46
2674340,Region01,0
2678238,Region01,0
2678226,Region01,0
2678232,Region01,0
2678252,Region01,0
2683788,Region01,0
2679210,Region01,5.41
2674902,Region01,0
2682142,Region01,0
2676914,Region01,13.99
2676916,Region01,0
2678638,Region01,0
2678642,Region01,0
2679718,Region01,34.9
2676106,Region01,25.23
2678590,Region01,0
2678580,Region01,0
2679792,Region01,33.31
2678584,Region01,0
2673540,Region01,25.24
2673548,Region01,26.37
2674086,Region01,26.28
2674096,Region01,25.3
2673598,Region01,24.95
2678696,Region01,0
2678694,Region01,0
2678320,Region01,0
2676554,Region01,8.74
2682060,Region01,0
2681670,Region01,0
2678774,Region01,11.69
2678652,Region01,0
2678654,Region01,0
