"tax_id","ref","taxon","person_2","person","common_name","taxon_name_notes","tmax","n","metric","metric_note","error","error_measure","acclim_temp","acclim_time","acclim_time_unit","start_temp","ramp","test_time","test_time_unit","endpoint","temp_tested","temp_rep","temp_rep_n","env_temp","env_temp_sp","env_temp_max","env_temp_min","season","season_type","coll_start","coll_end","coll_year","origin","origin_note","life_stage","life_stage_sp","sex","body_mass","error_bm","error_measure_bm","bm_type","body_length","error_bl","error_measure_bl","size_notes","climate","habitat","group","lat","long","elevation","continent","country","aeration","oxygen","pH","salinity","salinity_unit","add_stressor","type_stressor","stressor_type_sp","level_stressor","level_stressor_unit","notes_stressor","plotdigit","supp","ref_source","ref_language","pub_year","ref_info","ref_info_orig","ref_doi","ref_journal_orig","notes","endpoint_note","AphiaID_accepted","freshwater","brackish","marine","habitat2","test_id","study_id","loc_id","ott_id","domain","kingdom","phylum","class","order","family","genus","species","subspecies","taxon_corr","crd_id","elevation_wc25","köppen","Continent_new","Country_new","country_f","continent_f","koeppen_gr","tol_type"
"tax_650","Charlon_1968","Ameiurus nebulosus",,"Sebastian Prati","Poisson-chat",,36.5,60,"lt100",,,,"30",,,"34",,"24","hour","mortality",6,1,10,,,,,,,,,,"commercial",,"non-adult","juveniles",,62.5,"8.5","g","wet","172.5",12.5,"mm",,"temperate","freshwater","fish",43.56025,1.46769,243,"Eurasia","France",,,,,,,,,,,,,,"GS","french",1968,"Charlon, N., 1968. Resistance of catfish (Ameiurus nebulosus L.) to sudden changes in temperature. French Bulletin of Pisciculture, (231), pp.41-61.","Charlon, N., 1968. Résistance du poisson-chat (Ameiurus nebulosus L.) à de brusques variations de température. Bulletin Français de Pisciculture, (231), pp.41-61.",,"Bulletin Français de Pisciculture",,"mortality",154370,TRUE,,,"freshwater","t_817","s_62","l_510",804481,"Eukaryota","Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus",,"ameiurus nebulosus",564,158,"Temperate - Without dry season - Hot summer","Europe","France","France","Europe","Temperate","upper"
"tax_650","Charlon_1968","Ameiurus nebulosus",,"Sebastian Prati","Poisson-chat",,36.5,45,"lt100",,,,"32",,,"34.5",,"24","hour","mortality",5,1,5,,,,,,,,,,"commercial",,"non-adult","juveniles",,62.5,"8.5","g","wet","172.5",12.5,"mm",,"temperate","freshwater","fish",43.56025,1.46769,243,"Eurasia","France",,,,,,,,,,,,,,"GS","french",1968,"Charlon, N., 1968. Resistance of catfish (Ameiurus nebulosus L.) to sudden changes in temperature. French Bulletin of Pisciculture, (231), pp.41-61.","Charlon, N., 1968. Résistance du poisson-chat (Ameiurus nebulosus L.) à de brusques variations de température. Bulletin Français de Pisciculture, (231), pp.41-61.",,"Bulletin Français de Pisciculture",,"mortality",154370,TRUE,,,"freshwater","t_818","s_62","l_510",804481,"Eukaryota","Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus",,"ameiurus nebulosus",564,158,"Temperate - Without dry season - Hot summer","Europe","France","France","Europe","Temperate","upper"
"tax_650","Charlon_1968","Ameiurus nebulosus",,"Sebastian Prati","Poisson-chat",,36.5,45,"lt100",,,,"34",,,"35",,"24","hour","mortality",4,1,5,,,,,,,,,,"commercial",,"non-adult","juveniles",,62.5,"8.5","g","wet","172.5",12.5,"mm",,"temperate","freshwater","fish",43.56025,1.46769,243,"Eurasia","France",,,,,,,,,,,,,,"GS","french",1968,"Charlon, N., 1968. Resistance of catfish (Ameiurus nebulosus L.) to sudden changes in temperature. French Bulletin of Pisciculture, (231), pp.41-61.","Charlon, N., 1968. Résistance du poisson-chat (Ameiurus nebulosus L.) à de brusques variations de température. Bulletin Français de Pisciculture, (231), pp.41-61.",,"Bulletin Français de Pisciculture",,"mortality",154370,TRUE,,,"freshwater","t_819","s_62","l_510",804481,"Eukaryota","Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus",,"ameiurus nebulosus",564,158,"Temperate - Without dry season - Hot summer","Europe","France","France","Europe","Temperate","upper"
"tax_650","Charlon_1968","Ameiurus nebulosus",,"Sebastian Prati","Poisson-chat",,35,148,"lt100",,,,"22",,,"28",,"24","hour","mortality",15,1,8,,,,,,,,,,"commercial",,"non-adult","juveniles",,11.5,"0.5","g","wet","105",5,"mm",,"temperate","freshwater","fish",43.56025,1.46769,243,"Eurasia","France",,,,,,,,,,,,,,"GS","french",1968,"Charlon, N., 1968. Resistance of catfish (Ameiurus nebulosus L.) to sudden changes in temperature. French Bulletin of Pisciculture, (231), pp.41-61.","Charlon, N., 1968. Résistance du poisson-chat (Ameiurus nebulosus L.) à de brusques variations de température. Bulletin Français de Pisciculture, (231), pp.41-61.",,"Bulletin Français de Pisciculture",,"mortality",154370,TRUE,,,"freshwater","t_820","s_62","l_510",804481,"Eukaryota","Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus",,"ameiurus nebulosus",564,158,"Temperate - Without dry season - Hot summer","Europe","France","France","Europe","Temperate","upper"
"tax_650","Charlon_1968","Ameiurus nebulosus",,"Sebastian Prati","Poisson-chat",,35.5,125,"lt100",,,,"24",,,"28",,"24","hour","mortality",16,1,5,,,,,,,,,,"commercial",,"non-adult","juveniles",,11.5,"0.5","g","wet","105",5,"mm",,"temperate","freshwater","fish",43.56025,1.46769,243,"Eurasia","France",,,,,,,,,,,,,,"GS","french",1968,"Charlon, N., 1968. Resistance of catfish (Ameiurus nebulosus L.) to sudden changes in temperature. French Bulletin of Pisciculture, (231), pp.41-61.","Charlon, N., 1968. Résistance du poisson-chat (Ameiurus nebulosus L.) à de brusques variations de température. Bulletin Français de Pisciculture, (231), pp.41-61.",,"Bulletin Français de Pisciculture",,"mortality",154370,TRUE,,,"freshwater","t_821","s_62","l_510",804481,"Eukaryota","Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus",,"ameiurus nebulosus",564,158,"Temperate - Without dry season - Hot summer","Europe","France","France","Europe","Temperate","upper"
"tax_651","Sutherby_2019","Petromyzon marinus",,"Sebastian Prati","sea lamprey",,33.3,14,"ctmax",,0.1,"SE","5","16","day","5","0.17",,,"lrr",,,,,,,,"spring","intermediate","01/04/2018","30/04/2018",2018,"wild",,"non-adult","ammocoetes larvae",,,,,,"78",13,"SD","mm","temperate","freshwater","fish",43.62723,-84.709,218,"North America","USA","yes",,,,,,,,,,,,,"GS","english",2019,"Sutherby, J., 2019. The effect of temperature on sea lamprey (Petromyzon marinus): ecological and cellular implications (Master's thesis).","Sutherby, J., 2019. The effect of temperature on sea lamprey (Petromyzon marinus): ecological and cellular implications (Master's thesis).",,,,"lrr",101174,TRUE,TRUE,TRUE,"freshwater_brackish_marine","t_4106","s_360","l_512",227494,"Eukaryota","Metazoa","Chordata",,"Petromyzontiformes","Petromyzontidae","Petromyzon","Petromyzon marinus",,"petromyzon marinus",565,228,"Cold - Without dry season - Warm summer","North America","United States of America","United States of America","North America","Continental","upper"
"tax_651","Sutherby_2019","Petromyzon marinus",,"Sebastian Prati","sea lamprey",,34.4,15,"ctmax",,0.2,"SE","14.8","16","day","14.8","0.17",,,"lrr",,,,,,,,"spring","intermediate","01/04/2018","30/04/2018",2018,"wild",,"non-adult","ammocoetes larvae",,,,,,"78",13,"SD","mm","temperate","freshwater","fish",43.62723,-84.709,218,"North America","USA","yes",,,,,,,,,,,,,"GS","english",2019,"Sutherby, J., 2019. The effect of temperature on sea lamprey (Petromyzon marinus): ecological and cellular implications (Master's thesis).","Sutherby, J., 2019. The effect of temperature on sea lamprey (Petromyzon marinus): ecological and cellular implications (Master's thesis).",,,,"lrr",101174,TRUE,TRUE,TRUE,"freshwater_brackish_marine","t_4107","s_360","l_512",227494,"Eukaryota","Metazoa","Chordata",,"Petromyzontiformes","Petromyzontidae","Petromyzon","Petromyzon marinus",,"petromyzon marinus",565,228,"Cold - Without dry season - Warm summer","North America","United States of America","United States of America","North America","Continental","upper"
"tax_651","Sutherby_2019","Petromyzon marinus",,"Sebastian Prati","sea lamprey",,35.2,19,"ctmax",,0.1,"SE","21","16","day","21","0.17",,,"lrr",,,,,,,,"spring","intermediate","01/04/2018","30/04/2018",2018,"wild",,"non-adult","ammocoetes larvae",,,,,,"78",13,"SD","mm","temperate","freshwater","fish",43.62723,-84.709,218,"North America","USA","yes",,,,,,,,,,,,,"GS","english",2019,"Sutherby, J., 2019. The effect of temperature on sea lamprey (Petromyzon marinus): ecological and cellular implications (Master's thesis).","Sutherby, J., 2019. The effect of temperature on sea lamprey (Petromyzon marinus): ecological and cellular implications (Master's thesis).",,,,"lrr",101174,TRUE,TRUE,TRUE,"freshwater_brackish_marine","t_4108","s_360","l_512",227494,"Eukaryota","Metazoa","Chordata",,"Petromyzontiformes","Petromyzontidae","Petromyzon","Petromyzon marinus",,"petromyzon marinus",565,228,"Cold - Without dry season - Warm summer","North America","United States of America","United States of America","North America","Continental","upper"
"tax_651","Sutherby_2019","Petromyzon marinus",,"Sebastian Prati","sea lamprey",,32.5,15,"ctmax",,0.2,"SE","5","16","day","5","0.16",,,"lrr",,,,,,,,"summer","hot","12/06/2017","16/06/2017",2017,"wild",,"non-adult","ammocoetes larvae",,,,,,"85.1",10.7,"SD","mm","temperate","freshwater","fish",46.56363,-65.03285,3,"North America","Canada","yes",,,,,,,,,,,,,"GS","english",2019,"Sutherby, J., 2019. The effect of temperature on sea lamprey (Petromyzon marinus): ecological and cellular implications (Master's thesis).","Sutherby, J., 2019. The effect of temperature on sea lamprey (Petromyzon marinus): ecological and cellular implications (Master's thesis).",,,,"lrr",101174,TRUE,TRUE,TRUE,"freshwater_brackish_marine","t_4109","s_360","l_569",227494,"Eukaryota","Metazoa","Chordata",,"Petromyzontiformes","Petromyzontidae","Petromyzon","Petromyzon marinus",,"petromyzon marinus",566,16,"Cold - Without dry season - Warm summer","North America","Canada","Canada","North America","Continental","upper"
"tax_651","Sutherby_2019","Petromyzon marinus",,"Sebastian Prati","sea lamprey",,33.4,16,"ctmax",,0.1,"SE","13.5","16","day","13.5","0.16",,,"lrr",,,,,,,,"summer","hot","12/06/2017","16/06/2017",2017,"wild",,"non-adult","ammocoetes larvae",,,,,,"85.1",10.7,"SD","mm","temperate","freshwater","fish",46.56363,-65.03285,3,"North America","Canada","yes",,,,,,,,,,,,,"GS","english",2019,"Sutherby, J., 2019. The effect of temperature on sea lamprey (Petromyzon marinus): ecological and cellular implications (Master's thesis).","Sutherby, J., 2019. The effect of temperature on sea lamprey (Petromyzon marinus): ecological and cellular implications (Master's thesis).",,,,"lrr",101174,TRUE,TRUE,TRUE,"freshwater_brackish_marine","t_4110","s_360","l_569",227494,"Eukaryota","Metazoa","Chordata",,"Petromyzontiformes","Petromyzontidae","Petromyzon","Petromyzon marinus",,"petromyzon marinus",566,16,"Cold - Without dry season - Warm summer","North America","Canada","Canada","North America","Continental","upper"
