"Species","Equilibrium","Periodic","Opportunist","GameFish","HUC01","HUC02","HUC03","HUC04","HUC05","HUC06","HUC07","HUC08","HUC09","HUC10","HUC11","HUC12","HUC13","HUC14","HUC15","HUC16","HUC17","HUC18"
"Centrarchus macropterus",0.129730145227651,0.489683852155189,0.379239574190655,"Non-game","","Native","Native","","Native","Native","Native","Native","","","Native","Native","","","","","",""
"Chrosomus eos",0.0641138264689587,0.193874152021827,0.74076456885601,"Non-game","Non-native","","","Non-native","","","Non-native","","Non-native","Non-native","","","","","","","",""
"Chrosomus erythrogaster",0.0394229667968113,0.292620944525726,0.666663361386951,"Non-game","","","","Non-native","Non-native","Non-native","Non-native","","","Non-native","Non-native","","","","","","",""
"Chrosomus oreas",0.0315428732236585,0.328569601337557,0.638580512681813,"Non-game","","Native","Non-native","","Non-native","","","","","","","","","","","","",""
"Clarias batrachus",0.547073999620101,0.179943288790885,0.271798945369343,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Clinostomus elongatus",0.196864785805197,0.27185998920168,0.530004601460184,"Non-game","","Native","","Native","Native","","Native","","","","","","","","","","",""
"Clinostomus funduloides",0.154129039606077,0.337113405839334,0.507456745100044,"Non-game","","Non-native","Non-native","","Non-native","Native","","","","","","","","","","","",""
"Cottus aleuticus",0.550801146460164,0.0499200492357405,0.398149076378649,"Non-game","","","","","","","","","","","","","","","","","Native","Native"
"Cottus asper",0.578118514903774,0.069385732432877,0.351359476295693,"Non-game","","","","","","","","","","","","","","","","","Non-native","Non-native"
"Cottus bairdii",0.53808777787507,0.0489418651674116,0.411839887477656,"Non-game","","Native","Non-native","Non-native","Non-native","Non-native","Non-native","","Non-native","Non-native","Native","","","Non-native","","Non-native","Non-native",""
"Cottus beldingii",0.533953055506732,0,0.46495720938763,"Non-game","","","","","","","","","","","","","","Native","","Native","Non-native",""
"Cottus caeruleomentum",0.461220318710827,0.0990089991343368,0.438613158478063,"Non-game","","Non-native","Non-native","","","","","","","","","","","","","","",""
"Cottus carolinae",0.523775999447619,0.0646182070680984,0.41046680159444,"Non-game","","Non-native","Non-native","","Non-native","Non-native","Non-native","","","Non-native","Non-native","","","","","","",""
"Cottus cognatus",0.58899330251457,0.0499220123871058,0.359957522315541,"Non-game","Native","Native","","Native","","","Native","","","","","","","","","","Non-native",""
"Cottus confusus",0.549354888026215,0.0169588013311325,0.432568252787601,"Non-game","","","","","","","","","","","","","","","","","Non-native",""
"Cottus girardi",0.513853432712558,0.0473717309962376,0.437643450722566,"Non-game","","Non-native","","","","","","","","","","","","","","","",""
"Cottus gulosus",0.552918340999478,0.0191959498504185,0.426768003528413,"Non-game","","","","","","","","","","","","","","","","","Native","Native"
"Cottus hypselurus",0.554142467699308,0.0178357547736197,0.426904069664015,"Non-game","","","","","","","Native","","","Native","Non-native","","","","","","",""
"Cottus leiopomus",0.524911438789103,0.0374136634367025,0.436547069289403,"Non-game","","","","","","","","","","","","","","","","","Native",""
"Cottus perplexus",0.4977226865102,0.0608133732585702,0.440324756936221,"Non-game","","","","","","","","","","","","","","","","","Non-native",""
"Cottus rhotheus",0.574866597593817,0,0.424031516177763,"Non-game","","","","","","","","","","","","","","","","","Native",""
"Couesius plumbeus",0.0421027101845598,0.400574996585937,0.555987587830256,"Non-game","Native","","","","","","","","Non-native","Native","","","","","","","",""
"Culaea inconstans",0.280352641342102,0.119965164678858,0.598507790676892,"Non-game","","Native","","Non-native","Native","","Native","","Non-native","Non-native","Non-native","","Non-native","Non-native","","","Non-native",""
"Cycleptus elongatus",0.243797866350635,0.527882670914477,0.226951698067939,"Non-game","","","","","","","","Native","","Non-native","","","","Non-native","","","",""
"Cyprinella analostana",0,0.455941631485711,0.54272298245946,"Non-game","","Non-native","Non-native","","","","","","","","","","","","","","",""
"Cyprinella callistia",0,0.439687693982212,0.558974095997765,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Cyprinella camura",0,0.421594815917614,0.577081828468648,"Non-game","","","","","","Non-native","","Non-native","","Non-native","Non-native","","","","","","",""
"Cyprinella chloristia",0,0.416635367434685,0.5820390607205,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Cyprinella galactura",0,0.407406498913881,0.591264547535007,"Non-game","","","Non-native","","Non-native","Non-native","","","","","Non-native","","","","","","",""
"Cyprinella gibbsi",0,0.415019077225392,0.583657329878023,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Cyprinella leedsi",0,0.4201112721781,0.578562283654568,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Cyprinella lepida",0,0.414302729793077,0.584373442670349,"Non-game","","","","","","","","","","","","Native","","","","","",""
"Cyprinella lutrensis",0,0.381403127349562,0.617298352596538,"Non-game","","","Non-native","","Non-native","Native","Non-native","Non-native","","Non-native","Non-native","Native","Native","Non-native","Non-native","Non-native","Non-native","Non-native"
"Cyprinella nivea",0,0.41896691105481,0.579707645171608,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Cyprinella proserpina",0,0.420418131499616,0.578255929856324,"Non-game","","","","","","","","","","","","Native","","","","","",""
"Cyprinella spiloptera",0,0.435829748611631,0.562844856203045,"Non-game","","Non-native","","Non-native","Non-native","Non-native","Non-native","","Non-native","Non-native","","","","","","","",""
"Cyprinella trichroistia",0,0.406478256432172,0.59218605225334,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Cyprinella venusta",0,0.36924592900347,0.629445433705403,"Non-game","","","Native","","","","","Native","","Non-native","Native","Non-native","","","","","",""
