"Species","Equilibrium","Periodic","Opportunist","GameFish","HUC01","HUC02","HUC03","HUC04","HUC05","HUC06","HUC07","HUC08","HUC09","HUC10","HUC11","HUC12","HUC13","HUC14","HUC15","HUC16","HUC17","HUC18"
"Ictalurus punctatus",0.314089196659306,0.489529972962349,0.195059465816766,"Game","","Non-native","Non-native","Native","Non-native","Native","Non-native","Native","Native","Non-native","Native","Native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native"
"Ictiobus bubalus",0.0668698073077809,0.771027470838603,0.160622728960774,"Game","","","Non-native","","Non-native","Native","Non-native","Native","","Non-native","Non-native","Native","","","","","",""
"Ictiobus cyprinellus",0.129431337873489,0.746589723699907,0.122513225702605,"Game","","","","","Native","","Native","Native","","Native","Native","","","","","","",""
"Ictiobus niger",0.122464713781844,0.701797381261062,0.174290537264581,"Non-game","","","","","","","","Native","","","Native","","","","","","",""
"Labidesthes sicculus",0.211403921057693,0.191300257627495,0.596072603755406,"Non-game","","","Non-native","Native","Native","Native","Native","Native","","Non-native","Native","Non-native","","","","","",""
"Lampetra richardsoni",0.660328779155125,0.0224914845403762,0.316088272763814,"Non-game","","","","","","","","","","","","","","","","","Native",""
"Lepisosteus oculatus",0.578124952415623,0.341270373705186,0.0793552392220395,"Game","","","Non-native","","Non-native","","Non-native","Native","","Native","Non-native","Non-native","Native","","","","",""
"Lepisosteus osseus",0.626687254504343,0.37210635061836,0,"Game","","","Native","Native","Non-native","Native","Native","Native","","Non-native","Non-native","Native","","","","","",""
"Lepisosteus platostomus",0.592393422256272,0.367076289641847,0.0392718788811011,"Game","","","","","Native","Native","Native","Non-native","","Non-native","Non-native","Non-native","","","","","",""
"Lepisosteus platyrhincus",0.603183547193569,0.317362294267525,0.0782169164669459,"Game","","","Native","","","","","","","","","","","","","","",""
"Lepomis auritus",0.158737830844138,0.371033025466714,0.468930319210047,"Game","Non-native","Native","Non-native","","Non-native","Non-native","","","","","","Non-native","Non-native","","","","",""
"Lepomis cyanellus",0.154479520012552,0.412628920984358,0.43157207774331,"Game","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Native","Non-native","Non-native","Non-native","Native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native"
"Lepomis gibbosus",0.139590564998187,0.434428375670699,0.424653402609455,"Non-game","Native","Non-native","Native","Native","Non-native","","Native","","Native","Non-native","Non-native","","","","Non-native","","Non-native",""
"Lepomis gulosus",0.23911545276412,0.376924525964948,0.382665843573038,"Game","","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Native","","Non-native","Non-native","Non-native","Non-native","","","","Non-native",""
"Lepomis humilis",0.0922677296830509,0.46982854985439,0.436555063396121,"Non-game","","","Non-native","Non-native","Non-native","","Native","Native","Non-native","Non-native","Native","Non-native","","","","","",""
"Lepomis macrochirus",0.0799957728987315,0.484731872318941,0.433918370478904,"Game","Non-native","Non-native","Non-native","Non-native","Non-native","Native","Non-native","Native","Non-native","Non-native","Non-native","Native","Native","","","Non-native","Non-native","Non-native"
"Lepomis marginatus",0.101434755033528,0.385370945249991,0.511884916446327,"Non-game","","","Non-native","","","","","Native","","","Native","Native","","","","","",""
"Lepomis megalotis",0.15545404324227,0.396057050004393,0.447178214687649,"Non-game","","Non-native","Non-native","Non-native","Non-native","Native","Non-native","Native","","Non-native","Non-native","Native","Native","","","","",""
"Lepomis microlophus",0.159136115154871,0.468957955776393,0.370570841553387,"Game","","Non-native","Non-native","Non-native","Non-native","Native","Non-native","Native","","Non-native","Non-native","Non-native","","","","Non-native","Non-native","Non-native"
"Lepomis miniatus",0.120238552108914,0.440532514934792,0.437898478916666,"Non-game","","","Non-native","","","Native","","Native","","","Native","Native","","","","","",""
"Lepomis punctatus",0.121211370928477,0.432145255952777,0.445316049441733,"Non-game","","","Non-native","","","","","Non-native","","","Non-native","Non-native","","","","","",""
"Lepomis symmetricus",0.129775543130353,0.315801339341085,0.553144357508538,"Non-game","","","","","","","","Native","","","","","","","","","",""
"Lampetra appendix",0.682847514342551,0.0899375257656472,0.22609803370215,"Non-game","Native","Native","Native","Native","Native","Native","Native","","","","","","","","","","",""
"Lota lota",0.595586564081465,0.403154205664367,0,"Game","Native","","","Native","","","Non-native","","Non-native","","","","","Non-native","","","",""
"Luxilus albeolus",0.051117832541999,0.356845567026701,0.59073723392117,"Non-game","","","Native","","Non-native","","","","","","","","","","","","",""
"Luxilus cardinalis",0.0627313595934701,0.345324612443027,0.590651190091018,"Non-game","","","","","","","","","","","Native","","","","","","",""
"Luxilus cerasinus",0.0258403394009801,0.375583716872245,0.597267127032357,"Non-game","","Non-native","Non-native","","Non-native","","","","","","","","","","","","",""
"Luxilus chrysocephalus",0.0512624148089032,0.348319306016031,0.599124519723774,"Non-game","","Non-native","Native","Native","Native","Native","Native","Native","","Native","Native","","","","","","",""
"Luxilus coccogenis",0.0799699488888652,0.334647713394022,0.584095784516702,"Non-game","","","Non-native","","","Native","","","","","","","","","","","",""
"Luxilus cornutus",0.00491870674940007,0.378610434167771,0.615161939943889,"Non-game","Non-native","Native","Non-native","Non-native","Non-native","","Non-native","Non-native","Native","Non-native","","","","","","","",""
"Luxilus pilsbryi",0.0484692662094387,0.356025946958092,0.594205219861641,"Non-game","","","","","","","","","","Non-native","Non-native","","","","","","",""
"Luxilus zonatus",0.0574889933120556,0.345963151121822,0.595253120258648,"Non-game","","","","","","","Non-native","","","Non-native","Non-native","","","","","","",""
"Luxilus zonistius",0.0751997636924292,0.329962491496122,0.593551095989518,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Lythrurus ardens",0,0.43151879927533,0.567141594617665,"Non-game","","Native","Non-native","","Non-native","","","","","","","","","","","","",""
"Lythrurus atrapiculus",0,0.410251289897856,0.588408840763898,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Lythrurus bellus",0,0.408630013276629,0.590029006120558,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Lythrurus fasciolaris",0,0.410963539737534,0.587694901939825,"Non-game","","","Non-native","","Non-native","Native","","","","","","","","","","","",""
"Lythrurus lirus",0.0271270101971741,0.37830102638119,0.593240689302819,"Non-game","","","","","","Non-native","","","","","","","","","","","",""
"Lythrurus roseipinnis",0,0.362612640557348,0.636062407145225,"Non-game","","","Non-native","","","","","Non-native","","","","","","","","","",""
"Lythrurus umbratilis",0,0.389615152662561,0.609051517540407,"Non-game","","","","Non-native","Non-native","","Non-native","Non-native","","Non-native","Non-native","Non-native","","","","","",""
"Macrhybopsis hyostoma",0.158654096574844,0.253378048358816,0.586700289879154,"Non-game","","","","","","","Non-native","","","Non-native","Non-native","","","","","","",""
"Macrhybopsis storeriana",0.152592330852239,0.277596977787973,0.568534056592893,"Non-game","","","Non-native","","","Non-native","Non-native","Non-native","","Non-native","Non-native","","","","","","",""
"Margariscus margarita",0.109303411398812,0.367188537088076,0.522188987978656,"Non-game","Non-native","Native","","Non-native","Native","","Non-native","","Non-native","Non-native","","","","","","","",""
"Menidia beryllina",0.0754078528669635,0.358922219917258,0.564363825240155,"Non-game","","","Non-native","","","","","Native","","","Non-native","Non-native","Native","","","","","Non-native"
"Micropterus coosae",0.231760684183616,0.484419388489343,0.282488732955873,"Game","","","Native","","","","","","","","","","","","","","","Non-native"
"Micropterus dolomieu",0.205329859564775,0.555561498905875,0.237745313507807,"Game","Non-native","Non-native","Non-native","Non-native","Non-native","Native","Native","","Non-native","Non-native","Non-native","Non-native","","Non-native","Non-native","Non-native","Non-native","Non-native"
"Micropterus punctulatus",0.217559127008299,0.512103631591348,0.26899424642163,"Game","","Non-native","Non-native","Non-native","Non-native","Native","Non-native","Native","","Non-native","Non-native","Non-native","","","","","","Non-native"
"Micropterus salmoides",0.21066604085053,0.55824191133641,0.229728181978577,"Game","Non-native","Non-native","Native","Non-native","Non-native","Native","Native","Native","Non-native","Non-native","Non-native","Native","Native","Non-native","Non-native","Non-native","Non-native","Non-native"
"Micropterus treculii",0.191082718833888,0.527780403288051,0.279784816826424,"Non-game","","","","","","","","","","","","Non-native","","","","","",""
"Minytrema melanops",0.184612941867177,0.514193988474873,0.299828087332382,"Non-game","","","Native","Native","Native","Native","Native","Native","","Native","Native","Native","","","","","",""
"Misgurnus anguillicaudatus",0.292607595687619,0.260868360250618,0.445271656135409,"Non-game","","","Non-native","","","","Non-native","","","","","","","","","","Non-native",""
"Morone americana",0.206677639945226,0.580827466840674,0.21111020180677,"Game","","","Native","Non-native","","","","","","Non-native","Non-native","","","","","","",""
"Morone chrysops",0.0821998826538081,0.658814484637426,0.257559163541465,"Game","","","Non-native","Native","Non-native","","Non-native","Native","Non-native","Non-native","Non-native","Non-native","Non-native","","","Non-native","",""
"Morone saxatilis",0.196651809752349,0.745894991194417,0.0560032483706733,"Game","Native","","","","Non-native","","","","","Non-native","Non-native","","","","","Non-native","","Non-native"
"Moxostoma anisurum",0.147695863990962,0.57877834747917,0.272131270718939,"Game","","","Non-native","Non-native","Native","Native","Native","","Non-native","","","","","","","","",""
"Moxostoma carinatum",0.192535228730258,0.545819981015856,0.260267637225905,"Non-game","","","","Non-native","Non-native","Native","Native","","","","Native","","","","","","",""
"Moxostoma cervinum",0.269757603255243,0.47112785166524,0.257773756919383,"Non-game","","Non-native","Native","","Non-native","","","","","","","","","","","","",""
"Moxostoma congestum",0.211651475268336,0.524055303098129,0.262926180308722,"Non-game","","","","","","","","","","","","Non-native","","","","","",""
"Moxostoma erythrurum",0.166347287962118,0.531984754004572,0.300294625739181,"Non-game","","Non-native","Native","Non-native","Native","Native","Non-native","Native","Non-native","Non-native","Non-native","","","","","","",""
"Moxostoma lachneri",0.225688845695867,0.509062315022704,0.263889460460252,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Moxostoma macrolepidotum",0.128834366672528,0.571661922738829,0.298110580647195,"Game","","Non-native","","Native","Non-native","","Non-native","","Non-native","Non-native","Non-native","","","","","","",""
"Moxostoma pappillosum",0.21012074961649,0.529017536394531,0.259493011511189,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Moxostoma poecilurum",0.18894707926689,0.542284948284121,0.267393655902108,"Non-game","","","Non-native","","","","","Non-native","","","","Non-native","","","","","",""
"Moxostoma rupiscartes",0.25321764177859,0.481804569209804,0.263631449006932,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Moxostoma valenciennesi",0.23321819060045,0.575747208233095,0.189648748533966,"Non-game","","","","Native","","","Non-native","","","","","","","","","","",""
"Mugil cephalus",0,0.620507207316497,0.378115933883408,"Non-game","","","Non-native","","","","","Non-native","","","","Native","","","","","",""
"Mylocheilus caurinus",0,0.468664349691804,0.529979598922121,"Non-game","","","","","","","","","","","","","","","","","Native",""
"Neogobius melanostomus",0.31222744959485,0.222011465607237,0.464544527783376,"Non-game","","","","Non-native","Non-native","","","","","","","","","","","","",""
"Nocomis asper",0.150529241987791,0.334290647021652,0.513879977316943,"Non-game","","","","","","","","","","","Non-native","","","","","","",""
"Nocomis biguttatus",0.173520393526763,0.311614324494585,0.513576169577217,"Non-game","","","","Native","Native","","Native","Non-native","Non-native","Non-native","Native","","","","","","",""
"Nocomis leptocephalus",0.153140107237341,0.3381127427761,0.507445469492442,"Non-game","","Non-native","Non-native","","Native","Non-native","","Native","","","","","","","","","",""
"Nocomis micropogon",0.16264622929259,0.326752811050584,0.509305622376983,"Non-game","","Non-native","","Non-native","Non-native","Native","Non-native","","","","","","","","","","",""
"Nocomis platyrhynchus",0.0994894911480513,0.368306836756607,0.530883431905144,"Non-game","","","","","Native","","","","","","","","","","","","",""
"Nocomis raneyi",0.119161763583207,0.357241074610844,0.522285346829032,"Non-game","","Native","Native","","","","","","","","","","","","","","",""
"Notemigonus crysoleucas",0,0.609054698242684,0.389558550629945,"Non-game","Non-native","Native","Native","Non-native","Native","","Non-native","Native","Non-native","Non-native","Non-native","Non-native","Non-native","","Non-native","Non-native","Non-native","Non-native"
"Notropis altipinnis",0.0264787619947349,0.323030620033477,0.649183408237817,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Notropis amabilis",0.00828102770706732,0.348776446658132,0.641622112482084,"Non-game","","","","","","","","","","","","Native","","","","","",""
"Notropis amoenus",0.0270622221506434,0.330827096567975,0.640800668110569,"Non-game","","Non-native","Non-native","","","","","","","","","","","","","","",""
"Notropis asperifrons",0.0580885573688166,0.297737617536603,0.642878571159684,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Notropis atherinoides",0.0209447822402127,0.311106510152774,0.666645384653886,"Non-game","","","Native","Non-native","Non-native","Native","Non-native","Native","Non-native","Non-native","Native","Non-native","","","","","",""
"Notropis atrocaudalis",0.0392625525867674,0.308089340877056,0.651347112354516,"Non-game","","","","","","","","","","","Native","Non-native","","","","","",""
"Notropis baileyi",0,0.490703267114289,0.507919291960363,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Notropis bairdi",0.0690275879702563,0.281209229520349,0.648476549166282,"Non-game","","","","","","","","","","","Non-native","","","","","","",""
"Notropis blennius",0,0.339429748519024,0.65925567939353,"Non-game","","","","","Non-native","","Non-native","Native","","Non-native","","","","","","","",""
"Notropis boops",0.0576873007158282,0.298264839765688,0.64275259943902,"Non-game","","","","","Non-native","Native","Native","Native","","Non-native","Native","","","","","","",""
"Notropis buccatus",0.0228531842150642,0.317925461649496,0.657917139843079,"Non-game","","Native","Non-native","Native","Native","","Native","","","","","","","","","","",""
"Notropis buchanani",0.0141261642112962,0.28310515690598,0.701477729344167,"Non-game","","","","","Native","","Native","","","Native","","Native","","","","","",""
"Notropis chalybaeus",0.0103710480370597,0.331248899753405,0.657067360445781,"Non-game","","","Non-native","","","","Non-native","Non-native","","","","","","","","","",""
"Notropis chiliticus",0.0468005006516802,0.318104895122324,0.633791449148874,"Non-game","","","Non-native","","","Non-native","","","","","","","","","","","",""
"Notropis chrosomus",0.0305776880714185,0.313227871296819,0.654890756346824,"Non-game","","","Non-native","","Non-native","","","","","","Non-native","","","","","","",""
"Notropis cummingsae",0.0296031035161383,0.325062684302449,0.644025189177535,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Notropis dorsalis",0.057711925527984,0.273318508784623,0.667685562678928,"Non-game","","","","","Non-native","","Non-native","","Non-native","Non-native","Non-native","","","","","","",""
"Notropis greenei",0.0166136623821042,0.3374038407431,0.644667230747238,"Non-game","","","","","","","Non-native","","","","Non-native","","","","","","",""
"Notropis heterodon",0.043339096795525,0.326419241011353,0.628934075131118,"Non-game","","","","Non-native","","","Non-native","","","","","","","","","","",""
"Notropis heterolepis",0.0262509189475166,0.323992506027245,0.648446944906989,"Non-game","Native","","","Native","","","Non-native","","Non-native","Non-native","","","","","","","",""
"Notropis hudsonius",0,0.339078602181133,0.659612940495236,"Non-game","Non-native","Native","Non-native","Native","Non-native","Non-native","Native","","Native","Non-native","","","","","","","",""
"Notropis leuciodus",0.0621008901562721,0.286586436787721,0.650022393623158,"Non-game","","","","","Native","Native","","","","","","","","","","","",""
"Notropis longirostris",0.038011424766951,0.308827320655909,0.651859455292421,"Non-game","","Non-native","Non-native","","","","","Native","","","","","","","","","",""
"Notropis lutipinnis",0.0159664954369124,0.337046258564983,0.645672763725305,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Notropis nubilus",0.00066687988054433,0.351454173435487,0.646557610655286,"Non-game","","","","","","","Native","","","Native","Non-native","","","","","","",""
"Notropis ozarcanus",0.0491647457790684,0.297802308346353,0.651736740717305,"Non-game","","","","","","","","","","","Native","","","","","","",""
"Notropis petersoni",0.035749433957879,0.29964822302917,0.663304696362569,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Notropis photogenis",0.11124722585322,0.348479384775703,0.538963118263935,"Non-game","","","","Non-native","Non-native","Non-native","Non-native","","","","","","","","","","",""
"Notropis procne",0.0101430032433134,0.312155299717845,0.67639806678066,"Non-game","","Non-native","Non-native","","Non-native","","","","","","","","","","","","",""
"Notropis rubellus",0.0468787346999222,0.280894744560483,0.670938319308871,"Non-game","Non-native","Native","","Non-native","Non-native","","Non-native","","Non-native","","Non-native","","","","","","",""
"Notropis rubricroceus",0.0611307575217948,0.309016288130954,0.628553766557017,"Non-game","","","Non-native","","Non-native","Native","","","","","","","","","","","",""
"Notropis scepticus",0.0243111376904124,0.332168799300596,0.642208067077432,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Notropis semperasper",0.0427642554575281,0.307189334043646,0.648746601257113,"Non-game","","Native","","","","","","","","","","","","","","","",""
"Notropis shumardi",0,0.339725352913054,0.65895759584476,"Non-game","","","","","","","","Non-native","","","Non-native","Non-native","","","","","",""
"Notropis simus",0.0580904733368809,0.297957278288688,0.642657300254088,"Non-game",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Notropis spectrunculus",0.105580281057223,0.246658626719651,0.646491079135159,"Non-game","","","","","","Non-native","","","","","","","","","","","",""
"Notropis stilbius",0.0543742867544463,0.310990573163134,0.633333877130936,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Notropis stramineus",0,0.332141582109623,0.666550457599464,"Non-game","","","","Non-native","Non-native","Native","Non-native","","Non-native","Non-native","Non-native","Non-native","Native","Non-native","","","",""
"Notropis telescopus",0.0696343013718791,0.289940051940693,0.639135121993716,"Non-game","","Non-native","","","Non-native","Native","","","","Non-native","Native","","","","","","",""
"Notropis texanus",0.0128607627629107,0.278699407854439,0.707150342599311,"Non-game","","","Non-native","","","","Native","Native","","","","Native","","","","","",""
"Notropis volucellus",0.0728378440007459,0.313353863635324,0.612509858559116,"Non-game","Non-native","Non-native","Native","Non-native","Native","Native","Non-native","Native","Non-native","Non-native","Non-native","Non-native","","","","","",""
"Notropis wickliffi",0.0362101340291094,0.314584519772746,0.647901006436044,"Non-game","","","","","Non-native","Non-native","Non-native","Non-native","","","","","","","","","",""
"Notropis xaenocephalus",0.057378168409616,0.293696273933018,0.647631270747113,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Noturus albater",0.46460891477973,0,0.534284495620487,"Non-game","","","","","","","","","","","Native","","","","","","",""
"Noturus eleutherus",0.470540491664533,0,0.528347052763327,"Non-game","","","","","Non-native","Non-native","","","","","Non-native","","","","","","",""
"Noturus exilis",0.451791734850239,0.00526243015756141,0.541825970851446,"Non-game","","","Non-native","","Native","Native","Non-native","","","Native","Non-native","","","","","","",""
"Noturus flavater",0.46095021883044,0.0863240902683176,0.451572211619572,"Non-game","","","","","","","","","","","Native","","","","","","",""
"Noturus flavus",0.458461163252684,0.0510569284179099,0.489341252772778,"Non-game","","Native","","Native","Non-native","Native","Native","","Non-native","Non-native","Non-native","","","","","","",""
"Noturus funebris",0.402995106360444,0.0757905881758402,0.520058010108181,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Noturus gyrinus",0.478772804535795,0.0241365661786076,0.495964998830755,"Non-game","","Non-native","Native","Native","Native","","Native","Native","Non-native","Non-native","","Non-native","","","","","Non-native",""
"Noturus insignis",0.521460476578677,0.0028843684858712,0.474542550627941,"Non-game","Non-native","Non-native","Native","Non-native","Non-native","Non-native","","","","","","","","","","","Non-native",""
"Noturus leptacanthus",0.452458463530552,0,0.546433898457599,"Non-game","","","Non-native","","","","","Non-native","","","","","","","","","",""
"Noturus miurus",0.511186793281053,0,0.487729076966356,"Non-game","","","Native","Native","Native","Native","","Native","","","Native","","","","","","",""
"Noturus nocturnus",0.49890782594545,0,0.499980013832212,"Non-game","","","Native","","Native","Native","Non-native","Native","","Native","Native","Non-native","","","","","",""
"Oncorhynchus clarkii",0.219319954002385,0.52409827906361,0.255226204401518,"Game","","","","","","","","","Non-native","Native","","","Native","Native","","Native","Non-native","Native"
"Oncorhynchus kisutch",0.218492776278309,0.59564825274475,0.184476121131204,"Game","","","","Non-native","","","","","","","","","","","","","Native","Native"
"Oncorhynchus mykiss",0.117705150851962,0.605162359761083,0.275732287699211,"Game","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","","Non-native","Non-native","Non-native","","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native"
"Oncorhynchus nerka",0.115871572505797,0.527951270201585,0.354820863639857,"Game","","","","","","","","","","","","","","Non-native","","","Native",""
"Oncorhynchus tshawytscha",0.240941100770255,0.592527983929236,0.165163303608424,"Game","","","","Non-native","","","","","","","","","","","","","Non-native","Native"
"Opsopoeodus emiliae",0,0.48053278044009,0.518115568518402,"Non-game","","","Non-native","","","","","Non-native","","","","Non-native","","","","","",""
"Perca flavescens",0.161630886458847,0.545437000188451,0.291554353674489,"Game","Native","Native","Non-native","Non-native","Non-native","Non-native","Native","","Native","Non-native","","","Non-native","","","Non-native","Non-native",""
"Percina aurantiaca",0.30510034752837,0.261218037209428,0.432423038270615,"Non-game","","","","","","Native","","","","","","","","","","","",""
"Percina caprodes",0.270246309477377,0.311481396714968,0.416992560844855,"Non-game","","Native","Non-native","Non-native","Non-native","Native","Native","Non-native","Native","Non-native","Non-native","Non-native","","","","","",""
"Percina carbonaria",0.322061792802394,0.241618990539407,0.435071939661178,"Non-game","","","","","","","","","","","","Non-native","","","","","",""
"Percina crassa",0.244091610213673,0.314732141559606,0.439892260925334,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Percina evides",0.313028777702741,0.25556110605054,0.430157017848373,"Non-game","","","","","Native","Native","","","","","Native","","","","","","",""
"Percina kathae",0.328781630012402,0.242273389593525,0.427698660582006,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Percina macrocephala",0.326925498896413,0.250559673915907,0.421265061216001,"Non-game","","","","","Non-native","Non-native","","","","","","","","","","","",""
"Percina macrolepida",0.297500679482218,0.245842579635113,0.455406878709481,"Non-game","","","","","","","","","","","","Non-native","","","","","","Non-native"
"Percina maculata",0.354542629465588,0.258816673621622,0.385389319263019,"Non-game","","","","Native","Native","Native","Native","Native","Native","Non-native","Native","","","","","","",""
"Percina nevisense",0.324565154114575,0.249524048643229,0.424662017859103,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Percina nigrofasciata",0.286078852810118,0.215456579555598,0.497226749344556,"Non-game","","","Non-native","","","","","Native","","","","","","","","","",""
"Percina oxyrhynchus",0.303763922129066,0.267327184953701,0.427649909200692,"Non-game","","","","","Non-native","","","","","","","","","","","","",""
"Percina palmaris",0.26584982786219,0.226998069755209,0.5059047318441,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Percina peltata",0.286578488268453,0.281590644021402,0.430564379165967,"Non-game","","Native","Non-native","","","","","","","","","","","","","","",""
"Percina phoxocephala",0.30014924877033,0.266780804390307,0.431809113392012,"Non-game","","","","","Non-native","Non-native","Non-native","","","Non-native","Non-native","","","","","","",""
"Percina roanoka",0.257220250065457,0.303524845696754,0.437976676611619,"Non-game","","Non-native","Native","","Non-native","","","","","","","","","","","","",""
"Percina sciera",0.291414507676648,0.211794917612914,0.49555113333455,"Non-game","","","Non-native","","Non-native","Non-native","Non-native","Non-native","","","Non-native","Non-native","","","","","",""
"Percopsis omiscomaycus",0.448116462573066,0.178118527523484,0.372563023970622,"Non-game","","Native","","Non-native","Native","","Native","","Native","","","","","","","","",""
"Petromyzon marinus",0.631912138476916,0.291179250783874,0.0757055491740018,"Non-game","Non-native","Native","","Non-native","","","","","","","","","","","","","",""
"Phenacobius catostomus",0.194643698312714,0.283914632115338,0.52016784315115,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Phenacobius mirabilis",0.17523021018815,0.286522353960321,0.53696912664445,"Non-game","","","","Native","Native","","Native","Non-native","","Native","Non-native","Native","","","","","",""
"Pimephales notatus",0.136793953980182,0.168564568266374,0.693423681578774,"Non-game","Non-native","Native","Non-native","Non-native","Native","Non-native","Non-native","Non-native","Non-native","Non-native","Native","Non-native","","","","","",""
"Pimephales promelas",0,0.208583033109944,0.790170919531314,"Non-game","Non-native","Non-native","Non-native","Non-native","Native","Non-native","Non-native","Non-native","Non-native","Non-native","Native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native","Non-native"
"Pimephales tenellus",0.0747984600560291,0.269626116969026,0.65430065841475,"Non-game","","","","","","","","","","","Non-native","","","","","","",""
"Pimephales vigilax",0.0708327240449942,0.264818110873563,0.6630748124369,"Non-game","","","Native","","Non-native","Native","Non-native","Native","Non-native","Non-native","Non-native","Non-native","Non-native","","","","",""
"Platygobio gracilis",0.236566453519359,0.420413911431946,0.341697445661317,"Non-game","","","","","","","","","","Native","Native","","Native","","","","",""
"Poecilia formosa",0,0.110084684017088,0.888710304939302,"Non-game","","","","","","","","","","","","Non-native","","","","","",""
"Poecilia latipinna",0,0.232661362567704,0.766084786078226,"Non-game","","","Native","","","","","","","","","Non-native","Non-native","","","","","Non-native"
"Pomoxis annularis",0.141694747800449,0.581249963405185,0.275676740705354,"Game","","","Non-native","Non-native","Non-native","Native","Non-native","Native","Non-native","Non-native","Non-native","Native","Non-native","","","","Non-native","Non-native"
"Pomoxis nigromaculatus",0.123508291925262,0.580659664248803,0.294447221987374,"Game","Non-native","Non-native","Native","Native","Native","Native","Native","Native","Non-native","Non-native","Non-native","Non-native","","","","Non-native","Non-native","Non-native"
"Prosopium williamsoni",0.148670674414792,0.585495325539247,0.264437485110934,"Game","","","","","","","","","Native","Native","","","","Native","","Native","Native",""
"Pteronotropis grandipinnis",0.0138387132365777,0.437894982484114,0.546912398490346,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Pteronotropis hypselopterus",0.0355443806049228,0.408099274885507,0.555013768322767,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Pteronotropis metallicus",0,0.448697631161865,0.549946839957378,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Pteronotropis signipinnis",0,0.443161595843499,0.55548143007771,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Pteronotropis stonei",0,0.446415495903943,0.552227650184676,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Ptychocheilus grandis",0.223959506117795,0.395662353335187,0.379061832889922,"Non-game","","","","","","","","","","","","","","","","","","Native"
"Ptychocheilus oregonensis",0.100800008435363,0.636497621670014,0.261279753737514,"Non-game","","","","","","","","","","","","","","","","","Non-native",""
"Pylodictis olivaris",0.565565331898236,0.362690469338992,0.070484620735849,"Game","","","Non-native","Non-native","Native","Native","Non-native","Native","","Non-native","Non-native","Native","Native","","Non-native","","",""
"Rhinichthys atratulus",0.0508851251976558,0.375041087441724,0.572752219189199,"Non-game","Non-native","Non-native","Non-native","Non-native","Non-native","Native","Non-native","","Non-native","Non-native","","","Non-native","","","","",""
"Rhinichthys cataractae",0.203705228267044,0.27125438209026,0.523771623482081,"Non-game","Non-native","Native","Non-native","Non-native","Non-native","Native","Non-native","","Non-native","Non-native","Native","","Non-native","Non-native","","Non-native","Non-native",""
"Rhinichthys falcatus",0.183733482560051,0.299975396638523,0.515011523038754,"Non-game","","","","","","","","","","","","","","","","","Native",""
"Rhinichthys osculus",0.154207981214131,0.304411985030296,0.540093764078126,"Non-game","","","","","","","","","","Non-native","","","","Native","Non-native","Non-native","Non-native","Native"
"Rhinichthys umatilla",0.16265426277162,0.293973279381957,0.542092538698668,"Non-game","","","","","","","","","","","","","","","","","Native",""
"Richardsonius balteatus",0.00816411129628858,0.486862869399209,0.503603937682273,"Non-game","","","","","","","","","","Non-native","","","","Non-native","","Non-native","Non-native",""
"Richardsonius egregius",0,0.483135750078126,0.515494753472995,"Non-game","","","","","","","","","","","","","","","","Native","Non-native",""
"Salmo salar",0.17141704736103,0.688546955055234,0.138608285887559,"Game","Non-native","Non-native","","","","","","","","","","","","","","","",""
