Species,Status
Negaprion acutidens,Game fish
Negaprion brevirostris,Game fish
Nematistius pectoralis,Game fish
Ocyurus chrysurus,Game fish
Oncorhynchus aguabonita,Game fish
Oncorhynchus apache,Game fish
Oncorhynchus clarkii,Game fish
Oncorhynchus gorbuscha,Game fish
Oncorhynchus keta,Game fish
Oncorhynchus kisutch,Game fish
Oncorhynchus mykiss,Game fish
Oncorhynchus nerka,Game fish
Oncorhynchus tshawytscha,Game fish
Ophiodon elongatus,Game fish
Oplegnathus fasciatus,Game fish
Oplegnathus punctatus,Game fish
Orcynopsis unicolor,Game fish
Oreochromis mortimeri,Game fish
Osteoglossum bicirrhosum,Game fish
Pagrus auratus,Game fish
Pagrus major,Game fish
Parachanna africana,Game fish
Parachanna insignis,Game fish
Parachanna obscura,Game fish
Paralabrax clathratus,Game fish
Paralichthys californicus,Game fish
Paralichthys dentatus,Game fish
Pellona castelnaeana,Game fish
Perca flavescens,Game fish
Phractocephalus hemioliopterus,Game fish
Pogonias cromis,Game fish
Pollachius pollachius,Game fish
Pollachius virens,Game fish
Polydactylus macrochir,Game fish
Polyprion americanus,Game fish
Polysteganus undulosus,Game fish
Pomatomus saltatrix,Game fish
Pomoxis annularis,Game fish
Pomoxis nigromaculatus,Game fish
Prionace glauca,Game fish
Pristis pectinata,Game fish
Pristis zijsron,Game fish
Prosopium cylindraceum,Game fish
Prosopium williamsoni,Game fish
Pseudoplatystoma corruscans,Game fish
Pseudoplatystoma fasciatum,Game fish
Pseudoplatystoma reticulatum,Game fish
Pseudoplatystoma tigrinum,Game fish
Pygocentrus nattereri,Game fish
Pylodictis olivaris,Game fish
Rachycentron canadum,Game fish
Rhizoprionodon acutus,Game fish
Rhizoprionodon lalandii,Game fish
Rhizoprionodon longurio,Game fish
Rhizoprionodon oligolinx,Game fish
Rhizoprionodon porosus,Game fish
Rhizoprionodon taylori,Game fish
Rhizoprionodon terraenovae,Game fish
Rostroraja alba,Game fish
Salmo salar,Game fish
Salmo trutta,Game fish
Salvelinus alpinus,Game fish
Salvelinus confluentus,Game fish
Salvelinus fontinalis,Game fish
Salvelinus malma,Game fish
Salvelinus namaycush,Game fish
Sander canadensis,Game fish
Sander lucioperca,Game fish
Sander vitreus,Game fish
Sarda australis,Game fish
Sarda chiliensis,Game fish
Sarda lineolata,Game fish
Sarda orientalis,Game fish
Sarda sarda,Game fish
Sciaenops ocellatus,Game fish
Scoliodon laticaudus,Game fish
Scomberoides commersonnianus,Game fish
Scomberoides lysan,Game fish
Scomberomorus cavalla,Game fish
Scomberomorus commerson,Game fish
Scomberomorus maculatus,Game fish
Scomberomorus regalis,Game fish
Scomberomorus sierra,Game fish
Sebastes melanops,Game fish
Sebastes mystinus,Game fish
Sebastes paucispinis,Game fish
Sebastes ruberrimus,Game fish
Seriola dumerili,Game fish
Seriola lalandi,Game fish
Seriola rivoliana,Game fish
Serranochromis robustus,Game fish
Silurus glanis,Game fish
Sphyraena afra,Game fish
Sphyraena barracuda,Game fish
Sphyrna corona,Game fish
Sphyrna couardi,Game fish
Sphyrna lewini,Game fish
Sphyrna media,Game fish
Sphyrna mokarran,Game fish
Sphyrna tiburo,Game fish
Sphyrna tudes,Game fish
Sphyrna zygaena,Game fish
Squalus acanthias,Game fish
Squatina squatina,Game fish
Stenodus leucichthys,Game fish
Stereolepis gigas,Game fish
Tautoga onitis,Game fish
Tetrapturus angustirostris,Game fish
Tetrapturus belone,Game fish
Tetrapturus pfluegeri,Game fish
Thunnus alalunga,Game fish
Thunnus albacares,Game fish
Thunnus atlanticus,Game fish
Thunnus maccoyii,Game fish
Thunnus obesus,Game fish
Thunnus thynnus,Game fish
Thunnus tonggol,Game fish
Thymallus arcticus,Game fish
Thymallus thymallus,Game fish
Tinca tinca,Game fish
Totoaba macdonaldi,Game fish
Trachinotus falcatus,Game fish
Triaenodon obesus,Game fish
Xiphias gladius,Game fish
