"SampleID","Npass"
"BDB-000030872",1
"BDB-000030873",1
"BDB-000030876",2
"BDB-000030877",2
"BDB-000030878",1
"BDB-000030879",1
"BDB-000030880",2
"BDB-000030889",1
"BDB-000030891",1
"BDB-000030905",2
"BDB-000030906",1
"BDB-000030910",1
"BDB-000030911",1
"BDB-000030912",1
"BDB-000030914",1
"BDB-000030915",1
"BDB-000030916",1
"BDB-000030917",2
"BDB-000030918",2
"BDB-000030919",2
"BDB-000030920",2
"BDB-000030921",2
"BDB-000030922",2
"BDB-000030923",2
"BDB-000030924",2
"BDB-000030925",2
"BDB-000030928",1
"BDB-000030929",1
"BDB-000030930",1
"BDB-000030931",1
"BDB-000030932",1
"BDB-000030933",1
"BDB-000030934",1
"BDB-000030935",1
"BDB-000030937",2
"BDB-000030938",2
"BDB-000030939",2
"BDB-000030940",2
"BDB-000030941",1
"BDB-000030942",1
"BDB-000030943",2
"BDB-000030944",1
"BDB-000030946",1
"BDB-000030947",1
"BDB-000030948",1
"BDB-000030949",1
"BDB-000030950",1
"BDB-000030951",2
"BDB-000030952",1
"BDB-000030953",1
"BDB-000030954",1
"BDB-000030955",1
"BDB-000030956",2
"BDB-000030957",1
"BDB-000030958",2
"BDB-000030959",1
"BDB-000030960",2
"BDB-000030961",2
"BDB-000030962",2
"BDB-000030963",2
"BDB-000030964",2
"BDB-000030966",2
"BDB-000030967",1
"BDB-000030968",2
"BDB-000030970",2
"BDB-000031022",1
"BDB-000031023",1
"BDB-000031024",1
"BDB-000031026",1
"BDB-000031028",2
"BDB-000031030",2
"BDB-000031031",2
"BDB-000031032",2
"BDB-000031034",2
"BDB-000031035",4
"BDB-000031036",2
"BDB-000031045",1
"BDB-000031046",1
"BDB-000031047",1
"BDB-000031048",1
"BDB-000031049",1
"BDB-000031050",2
"BDB-000031051",1
"BDB-000031052",1
"BDB-000031053",1
"BDB-000031054",2
"BDB-000031056",2
"BDB-000031057",2
"BDB-000031058",2
"BDB-000031059",2
"BDB-000031060",2
"BDB-000031061",2
"BDB-000031062",2
"BDB-000031063",2
"BDB-000031064",2
"BDB-000031065",2
"BDB-000031070",2
"BDB-000031188",2
"BDB-000031189",2
"BDB-000031191",2
"BDB-000031193",2
"BDB-000031198",1
"BDB-000031199",1
"BDB-000031206",1
"BDB-000031207",1
"BDB-000031210",1
"BDB-000031211",1
"BDB-000031213",1
"BDB-000031214",1
"BDB-000031215",1
"BDB-000031216",1
"BDB-000031217",1
"BDB-000031219",1
"BDB-000031220",1
"BDB-000031221",1
"BDB-000031222",1
"BDB-000031226",1
"BDB-000031227",1
"BDB-000031228",1
"BDB-000031229",1
"BDB-000031230",1
"BDB-000031231",1
"BDB-000031232",2
"BDB-000031233",3
"BDB-000031234",2
"BDB-000031235",1
"BDB-000031237",1
"BDB-000031238",1
"BDB-000031242",1
"BDB-000031243",1
"BDB-000031244",1
"BDB-000031245",1
"BDB-000031246",1
"BDB-000031248",1
"BDB-000031279",2
"BDB-000031281",2
"BDB-000031282",2
"BDB-000031285",4
"BDB-000031286",4
"BDB-000031290",4
"BDB-000031291",2
"BDB-000031292",4
"BDB-000031293",4
"BDB-000031294",3
"BDB-000031295",3
"BDB-000031297",3
"BDB-000031299",2
"BDB-000031300",4
"BDB-000031301",3
"BDB-000031302",3
"BDB-000031303",2
"BDB-000031304",3
"BDB-000031306",2
"BDB-000031307",3
"BDB-000031308",1
"BDB-000031309",1
"BDB-000031310",1
"BDB-000031311",1
"BDB-000031312",3
"BDB-000031313",2
"BDB-000031314",1
"BDB-000031315",1
"BDB-000031316",2
"BDB-000031317",2
"BDB-000031318",1
"BDB-000031320",1
"BDB-000031322",1
"BDB-000031323",1
"BDB-000031324",1
"BDB-000031325",1
"BDB-000031326",1
"BDB-000031327",1
"BDB-000031329",1
"BDB-000031330",1
"BDB-000031331",1
"BDB-000031336",2
"BDB-000031337",2
"BDB-000031338",2
"BDB-000031339",2
"BDB-000031340",2
"BDB-000031341",1
"BDB-000031343",1
"BDB-000031344",1
"BDB-000031345",1
"BDB-000031346",1
"BDB-000031347",1
"BDB-000031348",2
"BDB-000031350",2
"BDB-000031352",1
"BDB-000031354",1
"BDB-000031356",1
"BDB-000031358",2
"BDB-000031359",2
"BDB-000031360",2
"BDB-000031361",2
"BDB-000031362",2
"BDB-000031363",2
"BDB-000031364",2
"BDB-000031365",2
"BDB-000031366",2
"BDB-000031367",2
"BDB-000031368",2
"BDB-000031369",2
"BDB-000031370",2
"BDB-000031371",2
"BDB-000031372",2
"BDB-000031373",2
"BDB-000031378",2
"BDB-000031379",1
"BDB-000031380",1
"BDB-000031381",4
"BDB-000031382",1
"BDB-000031383",1
"BDB-000031384",2
"BDB-000031388",2
"BDB-000031391",2
"BDB-000031392",2
"BDB-000031393",2
"BDB-000031394",2
"BDB-000031395",2
"BDB-000031396",2
"BDB-000031397",2
"BDB-000031398",2
"BDB-000031399",2
"BDB-000031400",2
"BDB-000031401",2
"BDB-000031402",2
